trial_index_0based,masterordering_1based,subjectim_slot_1based,nsd_image_id_0based,nsd_image_id_1based,split,shared1000,subject1,coco_id,coco_split
79,3632,3632,13758,13759,train,False,True,556855,train2017
80,3444,3444,45721,45722,train,False,True,411841,train2017
81,2840,2840,25279,25280,train,False,True,332547,train2017
82,1538,1538,52865,52866,train,False,True,440087,train2017
83,8951,8951,39789,39790,train,False,True,64797,train2017
84,8009,8009,7188,7189,train,False,True,275180,train2017
85,5772,5772,23748,23749,train,False,True,64610,train2017
86,5200,5200,44085,44086,train,False,True,286009,train2017
87,7984,7984,27605,27606,train,False,True,79244,train2017
88,9865,9865,33364,33365,train,False,True,104270,train2017
89,7367,7367,7264,7265,train,False,True,13320,train2017
90,436,436,32625,32626,test,True,True,98480,train2017
91,3014,3014,65972,65973,train,False,True,228467,train2017
92,3569,3569,14818,14819,train,False,True,559986,train2017
93,6871,6871,60123,60124,train,False,True,468159,train2017
94,4263,4263,42725,42726,train,False,True,400091,train2017
95,3694,3694,50102,50103,train,False,True,167110,train2017
96,5322,5322,21683,21684,train,False,True,563999,train2017
97,4061,4061,31968,31969,train,False,True,357994,train2017
98,7985,7985,25260,25261,train,False,True,361248,train2017
99,6041,6041,11880,11881,train,False,True,551413,train2017
100,6142,6142,13299,13300,train,False,True,555478,train2017
101,6843,6843,68508,68509,train,False,True,238347,train2017
102,7442,7442,18656,18657,train,False,True,571821,train2017
103,1108,1108,38924,38925,train,False,True,123166,train2017
104,9936,9936,15721,15722,train,False,True,446463,train2017
105,2757,2757,15761,15762,train,False,True,562911,train2017
106,9658,9658,49170,49171,train,False,True,425461,train2017
107,5169,5169,33483,33484,train,False,True,101785,train2017
108,3376,3376,26185,26186,train,False,True,335888,train2017
109,7287,7287,70468,70469,train,False,True,246057,train2017
110,5363,5363,4695,4696,train,False,True,882,train2017
111,5834,5834,204,205,train,False,True,492077,val2017
112,6448,6448,3390,3391,train,False,True,525607,train2017
113,4186,4186,69027,69028,train,False,True,240340,train2017
114,9715,9715,19763,19764,train,False,True,50827,train2017
115,1430,1430,44360,44361,train,False,True,144269,train2017
116,9621,9621,47125,47126,train,False,True,156943,train2017
117,7112,7112,33466,33467,train,False,True,363880,train2017
118,9845,9845,40933,40934,train,False,True,130998,train2017
119,7473,7473,67444,67445,train,False,True,234164,train2017
120,60,60,6431,6432,test,True,True,10710,train2017
121,2757,2757,15761,15762,train,False,True,562911,train2017
122,2704,2704,2019,2020,train,False,True,325114,val2017
123,8634,8634,2293,2294,train,False,True,88269,val2017
124,4900,4900,25406,25407,train,False,True,70854,train2017
125,7336,7336,4776,4777,train,False,True,529804,train2017
126,970,970,70335,70336,test,True,True,507642,train2017
127,4229,4229,27358,27359,train,False,True,78307,train2017
128,3770,3770,27813,27814,train,False,True,80040,train2017
129,3284,3284,58520,58521,train,False,True,199732,train2017
130,6316,6316,39390,39391,train,False,True,125125,train2017
131,1266,1266,67099,67100,train,False,True,494990,train2017
132,479,479,36576,36577,test,True,True,114077,train2017
133,6277,6277,70136,70137,train,False,True,244735,train2017
134,9754,9754,68099,68100,train,False,True,236840,train2017
135,7300,7300,39186,39187,train,False,True,386443,train2017
136,1104,1104,12706,12707,train,False,True,29472,train2017
137,7313,7313,155,156,train,False,True,295316,val2017
138,3250,3250,9376,9377,train,False,True,281713,train2017
139,6726,6726,6362,6363,train,False,True,534796,train2017
140,8054,8054,46116,46117,train,False,True,139634,train2017
141,7613,7613,18067,18068,train,False,True,569996,train2017
142,6236,6236,51594,51595,train,False,True,173046,train2017
143,2259,2259,60985,60986,train,False,True,209256,train2017
144,3968,3968,62949,62950,train,False,True,7220,train2017
145,2980,2980,70124,70125,train,False,True,521379,train2017
146,9718,9718,51992,51993,train,False,True,436685,train2017
147,1550,1550,32188,32189,train,False,True,96693,train2017
148,2980,2980,70124,70125,train,False,True,521379,train2017
149,6274,6274,51227,51228,train,False,True,171546,train2017
150,6666,6666,16148,16149,train,False,True,564142,train2017
151,3580,3580,26953,26954,train,False,True,338847,train2017
152,791,791,57046,57047,test,True,True,194054,train2017
153,7771,7771,15555,15556,train,False,True,300120,train2017
154,7985,7985,25260,25261,train,False,True,361248,train2017
155,5651,5651,54123,54124,train,False,True,205214,train2017
156,4786,4786,62341,62342,train,False,True,476642,train2017
157,5910,5910,59479,59480,train,False,True,203495,train2017
158,6588,6588,53540,53541,train,False,True,442646,train2017
159,5925,5925,54926,54927,train,False,True,185941,train2017
160,5699,5699,38890,38891,train,False,True,123035,train2017
161,3719,3719,56554,56555,train,False,True,454222,train2017
162,5440,5440,57087,57088,train,False,True,456376,train2017
163,9470,9470,32701,32702,train,False,True,360927,train2017
164,1330,1330,9255,9256,train,False,True,543552,train2017
165,8935,8935,17896,17897,train,False,True,225987,train2017
166,80,80,7659,7660,test,True,True,538822,train2017
167,2159,2159,67142,67143,train,False,True,495149,train2017
168,1866,1866,35803,35804,train,False,True,372983,train2017
169,5965,5965,34011,34012,train,False,True,103773,train2017
170,7512,7512,33442,33443,train,False,True,101660,train2017
171,4025,4025,37020,37021,train,False,True,377964,train2017
172,4025,4025,37020,37021,train,False,True,377964,train2017
173,403,403,30373,30374,test,True,True,89908,train2017
174,1665,1665,53423,53424,train,False,True,180071,train2017
175,9667,9667,37015,37016,train,False,True,377949,train2017
176,340,340,25959,25960,test,True,True,335063,train2017
177,6692,6692,5118,5119,train,False,True,6541,train2017
178,3824,3824,64647,64648,train,False,True,223560,train2017
179,1160,1160,33748,33749,train,False,True,364992,train2017
180,7046,7046,3371,3372,train,False,True,263412,train2017
181,7852,7852,32141,32142,train,False,True,358675,train2017
182,5291,5291,8734,8735,train,False,True,279941,train2017
183,3595,3595,15276,15277,train,False,True,312010,train2017
184,2325,2325,21486,21487,train,False,True,318290,train2017
185,4285,4285,5101,5102,train,False,True,1083,train2017
186,8561,8561,63806,63807,train,False,True,220232,train2017
187,3014,3014,65972,65973,train,False,True,228467,train2017
188,403,403,30373,30374,test,True,True,89908,train2017
189,612,612,44980,44981,test,True,True,408965,train2017
190,4687,4687,70327,70328,train,False,True,553046,train2017
191,9425,9425,38218,38219,train,False,True,120416,train2017
192,7750,7750,26696,26697,train,False,True,75727,train2017
193,3194,3194,63441,63442,train,False,True,480961,train2017
194,2628,2628,47674,47675,train,False,True,69923,train2017
195,9722,9722,31220,31221,train,False,True,92988,train2017
196,8561,8561,63806,63807,train,False,True,220232,train2017
197,2670,2670,63244,63245,train,False,True,218055,train2017
198,5109,5109,43712,43713,train,False,True,318965,train2017
199,3457,3457,15522,15523,train,False,True,300014,train2017
200,9972,9972,5033,5034,train,False,True,96027,train2017
201,899,899,65414,65415,test,True,True,168803,train2017
202,5741,5741,47163,47164,train,False,True,155401,train2017
203,3831,3831,66266,66267,train,False,True,229643,train2017
204,3799,3799,70856,70857,train,False,True,509657,train2017
205,2517,2517,60387,60388,train,False,True,207019,train2017
206,6504,6504,49758,49759,train,False,True,165674,train2017
207,3548,3548,15491,15492,train,False,True,562063,train2017
208,6399,6399,38882,38883,train,False,True,123013,train2017
209,3095,3095,36929,36930,train,False,True,115505,train2017
210,9021,9021,19767,19768,train,False,True,575133,train2017
211,9121,9121,38437,38438,train,False,True,151291,train2017
212,7852,7852,32141,32142,train,False,True,358675,train2017
213,1108,1108,38924,38925,train,False,True,123166,train2017
214,8441,8441,11270,11271,train,False,True,549644,train2017
215,9826,9826,38918,38919,train,False,True,123137,train2017
216,7559,7559,1701,1702,train,False,True,17182,val2017
217,2880,2880,2114,2115,train,False,True,55022,val2017
218,9949,9949,34944,34945,train,False,True,369638,train2017
219,7441,7441,65255,65256,train,False,True,225755,train2017
220,4751,4751,48281,48282,train,False,True,159756,train2017
221,5679,5679,44664,44665,train,False,True,407617,train2017
222,9865,9865,33364,33365,train,False,True,104270,train2017
223,1645,1645,25544,25545,train,False,True,333480,train2017
224,1266,1266,67099,67100,train,False,True,494990,train2017
225,1549,1549,37942,37943,train,False,True,381529,train2017
226,4229,4229,27358,27359,train,False,True,78307,train2017
227,9562,9562,38507,38508,train,False,True,383731,train2017
228,6187,6187,72443,72444,train,False,True,178016,train2017
229,8748,8748,17681,17682,train,False,True,306688,train2017
230,8374,8374,42205,42206,train,False,True,398202,train2017
231,559,559,42171,42172,test,True,True,135965,train2017
232,53,53,5602,5603,test,True,True,270278,train2017
233,8043,8043,17956,17957,train,False,True,45392,train2017
234,8972,8972,8235,8236,train,False,True,16343,train2017
235,5860,5860,19624,19625,train,False,True,50412,train2017
236,3756,3756,52731,52732,train,False,True,439537,train2017
237,4734,4734,16763,16764,train,False,True,566012,train2017
238,8985,8985,55930,55931,train,False,True,189780,train2017
239,5862,5862,48918,48919,train,False,True,424464,train2017
240,1681,1681,63191,63192,train,False,True,217799,train2017
241,8054,8054,46116,46117,train,False,True,139634,train2017
242,1983,1983,32365,32366,train,False,True,359589,train2017
243,7973,7973,63121,63122,train,False,True,217531,train2017
244,2469,2469,46276,46277,train,False,True,151842,train2017
245,265,265,21601,21602,test,True,True,580813,train2017
246,860,860,62302,62303,test,True,True,476481,train2017
247,3951,3951,49724,49725,train,False,True,27593,train2017
248,3444,3444,45721,45722,train,False,True,411841,train2017
249,45,45,5301,5302,test,True,True,531392,train2017
250,187,187,15492,15493,test,True,True,37779,train2017
251,6960,6960,70129,70130,train,False,True,506856,train2017
252,9857,9857,28680,28681,train,False,True,83364,train2017
253,9133,9133,60312,60313,train,False,True,206700,train2017
254,8620,8620,8383,8384,train,False,True,16775,train2017
255,323,323,25287,25288,test,True,True,332574,train2017
256,7974,7974,63814,63815,train,False,True,220266,train2017
257,3060,3060,35919,35920,train,False,True,373419,train2017
258,3271,3271,49453,49454,train,False,True,426595,train2017
259,5081,5081,8389,8390,train,False,True,541085,train2017
260,4741,4741,46019,46020,train,False,True,412996,train2017
261,1085,1085,1289,1290,train,False,True,491130,val2017
262,6570,6570,47425,47426,train,False,True,156461,train2017
263,4734,4734,16763,16764,train,False,True,566012,train2017
264,265,265,21601,21602,test,True,True,580813,train2017
265,2980,2980,70124,70125,train,False,True,521379,train2017
266,6150,6150,45128,45129,train,False,True,243008,train2017
267,66,66,6558,6559,test,True,True,273250,train2017
268,5550,5550,37592,37593,train,False,True,380139,train2017
269,6106,6106,66691,66692,train,False,True,231282,train2017
270,7973,7973,63121,63122,train,False,True,217531,train2017
271,4401,4401,68715,68716,train,False,True,239196,train2017
272,2727,2727,69034,69035,train,False,True,502513,train2017
273,6036,6036,52371,52372,train,False,True,175991,train2017
274,7741,7741,47400,47401,train,False,True,156375,train2017
275,2387,2387,19947,19948,train,False,True,401777,train2017
276,7130,7130,16548,16549,train,False,True,303213,train2017
277,6647,6647,41708,41709,train,False,True,134160,train2017
278,5925,5925,54926,54927,train,False,True,185941,train2017
279,3686,3686,58349,58350,train,False,True,251627,train2017
280,970,970,70335,70336,test,True,True,507642,train2017
281,201,201,16723,16724,test,True,True,41606,train2017
282,4687,4687,70327,70328,train,False,True,553046,train2017
283,2387,2387,19947,19948,train,False,True,401777,train2017
284,6349,6349,61947,61948,train,False,True,212969,train2017
285,3457,3457,15522,15523,train,False,True,300014,train2017
286,5237,5237,23641,23642,train,False,True,64155,train2017
287,5237,5237,23641,23642,train,False,True,64155,train2017
288,5169,5169,33483,33484,train,False,True,101785,train2017
289,2284,2284,2737,2738,train,False,True,359781,val2017
290,4210,4210,48202,48203,train,False,True,421557,train2017
291,3597,3597,11782,11783,train,False,True,551125,train2017
292,2768,2768,15238,15239,train,False,True,299077,train2017
293,5714,5714,6116,6117,train,False,True,271862,train2017
294,7852,7852,32141,32142,train,False,True,358675,train2017
295,9788,9788,47761,47762,train,False,True,157726,train2017
296,9094,9094,38040,38041,train,False,True,381889,train2017
297,2607,2607,43858,43859,train,False,True,142321,train2017
298,9272,9272,57750,57751,train,False,True,382320,train2017
299,5192,5192,70954,70955,train,False,True,510059,train2017
300,7185,7185,35852,35853,train,False,True,111048,train2017
301,6581,6581,13000,13001,train,False,True,292463,train2017
302,1492,1492,52603,52604,train,False,True,176906,train2017
303,2196,2196,52651,52652,train,False,True,439236,train2017
304,7998,7998,23496,23497,train,False,True,63587,train2017
305,531,531,40575,40576,test,True,True,391754,train2017
306,6520,6520,32142,32143,train,False,True,358678,train2017
307,3898,3898,46857,46858,train,False,True,154202,train2017
308,9743,9743,18556,18557,train,False,True,309382,train2017
309,2430,2430,7024,7025,train,False,True,274685,train2017
310,3694,3694,50102,50103,train,False,True,167110,train2017
311,3548,3548,15491,15492,train,False,True,562063,train2017
312,1939,1939,22924,22925,train,False,True,569433,train2017
313,1129,1129,7095,7096,train,False,True,78986,train2017
314,3996,3996,33208,33209,train,False,True,278923,train2017
315,5160,5160,70654,70655,train,False,True,246713,train2017
316,2539,2539,23877,23878,train,False,True,65030,train2017
317,5155,5155,51146,51147,train,False,True,203299,train2017
318,3647,3647,28399,28400,train,False,True,344439,train2017
319,7233,7233,4021,4022,train,False,True,527510,train2017
320,5772,5772,23748,23749,train,False,True,64610,train2017
321,5761,5761,45372,45373,train,False,True,549011,train2017
322,9964,9964,40477,40478,train,False,True,129285,train2017
323,3903,3903,19144,19145,train,False,True,311082,train2017
324,9657,9657,11033,11034,train,False,True,24652,train2017
325,1808,1808,37832,37833,train,False,True,381123,train2017
326,3036,3036,18590,18591,train,False,True,267422,train2017
327,9484,9484,14758,14759,train,False,True,35482,train2017
328,4025,4025,37020,37021,train,False,True,377964,train2017
329,6068,6068,49204,49205,train,False,True,163444,train2017
330,5418,5418,15591,15592,train,False,True,300216,train2017
331,4005,4005,8667,8668,train,False,True,17625,train2017
332,9960,9960,4265,4266,train,False,True,412034,train2017
333,6726,6726,6362,6363,train,False,True,534796,train2017
334,2504,2504,10113,10114,train,False,True,284018,train2017
335,2735,2735,63707,63708,train,False,True,482007,train2017
336,8174,8174,28690,28691,train,False,True,144971,train2017
337,7260,7260,60377,60378,train,False,True,78188,train2017
338,5558,5558,42383,42384,train,False,True,136687,train2017
339,7780,7780,42384,42385,train,False,True,136698,train2017
340,1014,1014,29699,29700,train,False,True,14549,train2017
341,3638,3638,409,410,train,False,True,500826,val2017
342,6843,6843,68508,68509,train,False,True,238347,train2017
343,9313,9313,2884,2885,train,False,True,8021,val2017
344,1702,1702,10449,10450,train,False,True,571797,train2017
345,616,616,45595,45596,test,True,True,149221,train2017
346,3640,3640,54568,54569,train,False,True,184556,train2017
347,8318,8318,59597,59598,train,False,True,203975,train2017
348,9017,9017,19378,19379,train,False,True,573968,train2017
349,9347,9347,19985,19986,train,False,True,51478,train2017
350,5238,5238,37181,37182,train,False,True,116455,train2017
351,6246,6246,57549,57550,train,False,True,196021,train2017
352,3194,3194,63441,63442,train,False,True,480961,train2017
353,727,727,53052,53053,test,True,True,440792,train2017
354,6311,6311,68746,68747,train,False,True,501498,train2017
355,8935,8935,17896,17897,train,False,True,225987,train2017
356,116,116,9917,9918,test,True,True,283426,train2017
357,2297,2297,15307,15308,train,False,True,299295,train2017
358,3293,3293,17319,17320,train,False,True,43393,train2017
359,351,351,26598,26599,test,True,True,337479,train2017
360,2336,2336,71873,71874,train,False,True,251629,train2017
361,265,265,21601,21602,test,True,True,580813,train2017
362,9949,9949,34944,34945,train,False,True,369638,train2017
363,5418,5418,15591,15592,train,False,True,300216,train2017
364,6017,6017,58405,58406,train,False,True,461430,train2017
365,8280,8280,1082,1083,train,False,True,81061,val2017
366,9965,9965,66287,66288,train,False,True,229733,train2017
367,8516,8516,55443,55444,train,False,True,187933,train2017
368,8054,8054,46116,46117,train,False,True,139634,train2017
369,1266,1266,67099,67100,train,False,True,494990,train2017
370,8093,8093,49397,49398,train,False,True,426377,train2017
371,8498,8498,22460,22461,train,False,True,315768,train2017
372,2469,2469,46276,46277,train,False,True,151842,train2017
373,830,830,60305,60306,test,True,True,468825,train2017
374,6274,6274,51227,51228,train,False,True,171546,train2017
375,8174,8174,28690,28691,train,False,True,144971,train2017
376,4615,4615,71317,71318,train,False,True,249315,train2017
377,2736,2736,63887,63888,train,False,True,220568,train2017
378,5200,5200,44085,44086,train,False,True,286009,train2017
379,2330,2330,12482,12483,train,False,True,28854,train2017
380,4470,4470,71620,71621,train,False,True,512734,train2017
381,4068,4068,45318,45319,train,False,True,410246,train2017
382,5858,5858,53375,53376,train,False,True,224217,train2017
383,1538,1538,52865,52866,train,False,True,440087,train2017
384,6560,6560,60746,60747,train,False,True,470525,train2017
385,8283,8283,50593,50594,train,False,True,169040,train2017
386,5160,5160,70654,70655,train,False,True,246713,train2017
387,3293,3293,17319,17320,train,False,True,43393,train2017
388,5965,5965,34011,34012,train,False,True,103773,train2017
389,2408,2408,36263,36264,train,False,True,374890,train2017
390,9667,9667,37015,37016,train,False,True,377949,train2017
391,1866,1866,35803,35804,train,False,True,372983,train2017
392,3342,3342,59793,59794,train,False,True,466863,train2017
393,1014,1014,29699,29700,train,False,True,14549,train2017
394,7951,7951,39920,39921,train,False,True,389295,train2017
395,4784,4784,25389,25390,train,False,True,332930,train2017
396,5660,5660,28127,28128,train,False,True,81228,train2017
397,8315,8315,42439,42440,train,False,True,399028,train2017
398,1098,1098,16625,16626,train,False,True,303414,train2017
399,1431,1431,63772,63773,train,False,True,482242,train2017
400,5858,5858,53375,53376,train,False,True,224217,train2017
401,2848,2848,48566,48567,train,False,True,160866,train2017
402,36,36,4786,4787,test,True,True,267699,train2017
403,6866,6866,31528,31529,train,False,True,356280,train2017
404,1098,1098,16625,16626,train,False,True,303414,train2017
405,8315,8315,42439,42440,train,False,True,399028,train2017
406,5663,5663,55661,55662,train,False,True,450849,train2017
407,2218,2218,4561,4562,train,False,True,529140,train2017
408,5858,5858,53375,53376,train,False,True,224217,train2017
409,9272,9272,57750,57751,train,False,True,382320,train2017
410,8216,8216,32696,32697,train,False,True,98760,train2017
411,7520,7520,67819,67820,train,False,True,235597,train2017
412,5919,5919,19010,19011,train,False,True,48548,train2017
413,2451,2451,38936,38937,train,False,True,123201,train2017
414,9575,9575,71315,71316,train,False,True,511454,train2017
415,2330,2330,12482,12483,train,False,True,28854,train2017
416,7310,7310,62428,62429,train,False,True,214827,train2017
417,8175,8175,14429,14430,train,False,True,34480,train2017
418,2259,2259,60985,60986,train,False,True,209256,train2017
419,4401,4401,68715,68716,train,False,True,239196,train2017
420,3902,3902,64919,64920,train,False,True,486655,train2017
421,9335,9335,55712,55713,train,False,True,451087,train2017
422,2760,2760,47287,47288,train,False,True,418106,train2017
423,6017,6017,58405,58406,train,False,True,461430,train2017
424,8170,8170,24083,24084,train,False,True,327921,train2017
425,5262,5262,18193,18194,train,False,True,308263,train2017
426,5262,5262,18193,18194,train,False,True,308263,train2017
427,2336,2336,71873,71874,train,False,True,251629,train2017
428,3862,3862,7634,7635,train,False,True,538748,train2017
429,8482,8482,33258,33259,train,False,True,363061,train2017
430,9525,9525,35466,35467,train,False,True,109498,train2017
431,3450,3450,682,683,train,False,True,131386,val2017
432,6692,6692,5118,5119,train,False,True,6541,train2017
433,230,230,19181,19182,test,True,True,573337,train2017
434,5967,5967,33974,33975,train,False,True,103584,train2017
435,7856,7856,63472,63473,train,False,True,517082,train2017
436,8586,8586,21031,21032,train,False,True,316782,train2017
437,7130,7130,16548,16549,train,False,True,303213,train2017
438,8109,8109,58422,58423,train,False,True,461484,train2017
439,66,66,6558,6559,test,True,True,273250,train2017
440,992,992,72080,72081,test,True,True,514563,train2017
441,2986,2986,29036,29037,train,False,True,346877,train2017
442,1192,1192,34000,34001,train,False,True,541574,train2017
443,5568,5568,60789,60790,train,False,True,470720,train2017
444,2203,2203,18492,18493,train,False,True,47008,train2017
445,7185,7185,35852,35853,train,False,True,111048,train2017
446,4001,4001,10784,10785,train,False,True,23949,train2017
447,4285,4285,5101,5102,train,False,True,1083,train2017
448,475,475,36067,36068,test,True,True,373970,train2017
449,7336,7336,4776,4777,train,False,True,529804,train2017
450,1800,1800,50644,50645,train,False,True,169228,train2017
451,9121,9121,38437,38438,train,False,True,151291,train2017
452,7428,7428,54111,54112,train,False,True,444800,train2017
453,5663,5663,55661,55662,train,False,True,450849,train2017
454,6579,6579,2049,2050,train,False,True,480842,val2017
455,7917,7917,65402,65403,train,False,True,226348,train2017
456,3756,3756,52731,52732,train,False,True,439537,train2017
457,6106,6106,66691,66692,train,False,True,231282,train2017
458,2186,2186,46133,46134,train,False,True,413421,train2017
459,4615,4615,71317,71318,train,False,True,249315,train2017
460,4306,4306,63727,63728,train,False,True,219943,train2017
461,5523,5523,33242,33243,train,False,True,100853,train2017
462,7974,7974,63814,63815,train,False,True,220266,train2017
463,1196,1196,25277,25278,train,False,True,332540,train2017
464,9718,9718,51992,51993,train,False,True,436685,train2017
465,9244,9244,59711,59712,train,False,True,204448,train2017
466,2604,2604,2792,2793,train,False,True,261732,val2017
467,4793,4793,68383,68384,train,False,True,237853,train2017
468,988,988,71753,71754,test,True,True,251084,train2017
469,5894,5894,68638,68639,train,False,True,238850,train2017
470,1732,1732,5631,5632,train,False,True,270373,train2017
471,6066,6066,37529,37530,train,False,True,117736,train2017
472,7020,7020,1233,1234,train,False,True,519569,val2017
473,9798,9798,70801,70802,train,False,True,247306,train2017
474,1771,1771,49754,49755,train,False,True,427800,train2017
475,5382,5382,14697,14698,train,False,True,268023,train2017
476,8917,8917,55208,55209,train,False,True,449158,train2017
477,6311,6311,68746,68747,train,False,True,501498,train2017
478,5514,5514,41853,41854,train,False,True,134738,train2017
479,3924,3924,1400,1401,train,False,True,331075,val2017
480,2604,2604,2792,2793,train,False,True,261732,val2017
481,1192,1192,34000,34001,train,False,True,541574,train2017
482,2755,2755,33138,33139,train,False,True,362563,train2017
483,9761,9761,29599,29600,train,False,True,544094,train2017
484,1968,1968,43934,43935,train,False,True,404758,train2017
485,7559,7559,1701,1702,train,False,True,17182,val2017
486,1551,1551,64712,64713,train,False,True,223790,train2017
487,6666,6666,16148,16149,train,False,True,564142,train2017
488,8170,8170,24083,24084,train,False,True,327921,train2017
489,3756,3756,52731,52732,train,False,True,439537,train2017
490,2262,2262,11656,11657,train,False,True,288649,train2017
491,4784,4784,25389,25390,train,False,True,332930,train2017
492,5714,5714,6116,6117,train,False,True,271862,train2017
493,1108,1108,38924,38925,train,False,True,123166,train2017
494,1224,1224,46952,46953,train,False,True,416690,train2017
495,9934,9934,29400,29401,train,False,True,86147,train2017
496,1317,1317,16827,16828,train,False,True,304069,train2017
497,805,805,58144,58145,test,True,True,460408,train2017
498,5274,5274,55738,55739,train,False,True,189027,train2017
499,5350,5350,5660,5661,train,False,True,270460,train2017
500,2262,2262,11656,11657,train,False,True,288649,train2017
501,6246,6246,57549,57550,train,False,True,196021,train2017
502,9272,9272,57750,57751,train,False,True,382320,train2017
503,4741,4741,46019,46020,train,False,True,412996,train2017
504,145,145,11942,11943,test,True,True,27298,train2017
505,6367,6367,59634,59635,train,False,True,204137,train2017
506,3548,3548,15491,15492,train,False,True,562063,train2017
507,2752,2752,32496,32497,train,False,True,360128,train2017
508,230,230,19181,19182,test,True,True,573337,train2017
509,9922,9922,14873,14874,train,False,True,185293,train2017
510,5889,5889,49748,49749,train,False,True,165636,train2017
511,2377,2377,39418,39419,train,False,True,125230,train2017
512,1492,1492,52603,52604,train,False,True,176906,train2017
513,3194,3194,63441,63442,train,False,True,480961,train2017
514,1899,1899,71261,71262,train,False,True,511269,train2017
515,9049,9049,31060,31061,train,False,True,92344,train2017
516,5081,5081,8389,8390,train,False,True,541085,train2017
