model_token,hemisphere,parcel_index_zero_based_excluding_medial_wall,schaefer_label_id,snr_rank,mean_ncsnr,vertex_count,vertex_sha256
36,lh,33,34,37,0.4952622056007385,250,b55ca26c2cd55b323e1c419b8b934a65c4bb78d21c7da79a700e57ad30671329
37,lh,184,185,38,0.4923276901245117,251,6d1d59ecc2db19e6c7c8e97eba5b059f4aa2d4373ded6006b078cf7c0ef5f977
38,lh,11,12,39,0.48745402693748474,410,1f64d465e10abda974a03ee1df9472205bbaae72c423ae6dc076938e269f4633
39,lh,179,180,40,0.48164424300193787,184,674beaca5672729d0f98b77350e47f518af13e35d4b4d362bca8dd2ec320485f
40,lh,64,65,41,0.4810301959514618,128,0c7f0b0af315be63a127d988709f5ef1a27eb4467c5c52bfc79aa28cdbec522c
41,lh,18,19,42,0.48102566599845886,193,4eee10edf0d82ca32f29fd1c5bcfd96470c8c58ee1da9663e225e5f8f87fe582
42,lh,178,179,43,0.4748196601867676,208,e11bef90f68f077d2c57d89e86665aa58b4164db86f7928ce35513df4ae1693d
43,lh,5,6,44,0.47391507029533386,401,654ac7c593b7d3b4bb600c3eadd5a817b1a152c7fee86e9f3720add172822bfa
44,lh,20,21,45,0.47377699613571167,259,c7258178447ec128ddc07c603a8e785a997674de1975591f3a10489b9bf64551
45,lh,187,188,46,0.4684760272502899,208,7e2410c7660251fa07e00755bd4f4213d824f1cbec0a7afd15b31edaf6e40252
46,lh,181,182,47,0.46364814043045044,343,9df0cace7bff0728dc72e8fbbf729fea0cb44fd8e7f3b2d0e5db322a728e2d2e
47,lh,3,4,48,0.4623631536960602,252,caed54e0ef02d7c5fbde2ddbd223373996d34ee20f25c75cb08c7e631f6c26d9
48,lh,14,15,49,0.45930930972099304,225,4b04c0f798707c88886584db4a33ab6ba5e3a6c2ad1ade1f1e87b08273e36163
49,lh,233,234,50,0.45416495203971863,365,f07daf47c20dcc6f498427d0e0092e5a7ed520c10c6aba1a085ab45aeaee8e3e
50,lh,468,469,51,0.45015156269073486,360,22fac39c1939ea8512074b1e76e2505981d2ef33021dc804c4c67df2fb937e1a
51,lh,73,74,52,0.4430970847606659,221,e3d00f5f080c256484da74ddf1e7132ac605e7d06da58da80d9708ea53173538
52,lh,16,17,53,0.4418669641017914,222,7f262a4f8a10059b3a5097cd1eb54b8931b7e9f6de9b7f8ec4d269d8ad077148
53,lh,200,201,54,0.4396008551120758,305,2f60962463d4ef9ee20e22c1e79d55d5af375754a99c38c218f54b8ffdc02851
54,lh,27,28,55,0.4310263395309448,535,15b296943b33926ee65ffb3507d4e3f166f2a8e17a2e71e31ef924ba1c233505
55,lh,192,193,56,0.42933809757232666,305,03157e3936ccc7e70da66921225ea88f1c9255117adc854d01211cd0d307d4d9
56,lh,67,68,57,0.42858341336250305,215,c3343353b8ba32d1670ee822e89b368c14ce121d057a6dff65cf8f7f62941064
57,lh,76,77,58,0.4278430640697479,276,1ba236822038e51fe5102d5d07f532534043b6ef3c7c84f0ffa9e9df82a1bba6
58,lh,471,472,59,0.4188014268875122,228,604f8c4da0da4245f580eee7d669ddc5a749a96c4283adf9f071ba6db2f22a21
59,lh,8,9,60,0.4118892252445221,245,f69002b01d6cb8b61a6a57475d6cb15181a2aac6544deb39927f5e9462c9da18
60,lh,242,243,61,0.4092264473438263,281,496fd49c3afd5b2f102443d36e273a9f6404930ad8dac8756bb76f59c0d133e2
61,lh,215,216,62,0.3909200429916382,256,e0eddbab2fa88d0915c880c98241079554aee196dca4a8f741298ed4a7f76eb9
62,lh,186,187,63,0.3902663290500641,244,1c44284d1aa6a437634716cda67da7841cc3b13c7e8e92a773a1e5f4634190fd
63,lh,280,281,64,0.3844403028488159,158,175acd6b8cba5d13c2d23f94c7c9f1e8c8170551fe72979e66daea1f1f6537c9
64,lh,174,175,65,0.38072723150253296,329,bcc342deec7808f4688b77a15b331a9415df53a3597d0bc1bd25c6826691b429
65,lh,61,62,66,0.3773611783981323,252,c3de4e32498203a96f315600cdbcadebe6f443888c4a505c0d9b02d47d6207ab
66,lh,377,378,67,0.3771337866783142,272,f274ba1e232e60f17c1ee3fa250097fe60033366fb8e87e02b050314c8ca6530
67,lh,496,497,68,0.3755069971084595,255,72d76d156960bed92e2d1a61480317cddae0c8c1b9b1c5f6e6141f6f30d0b2e1
68,lh,15,16,69,0.3729315996170044,171,444f4e4695c7df6e5fb1a62122e14073d6c84d84781a288577482df7a90cdde6
69,lh,202,203,70,0.36670827865600586,227,d2e17939a8c1e5c3e77886b9a8d2808fb8b53368c8c51356074bd25babaa7565
70,lh,237,238,71,0.36539316177368164,364,985734c86ce2496c1d1d04ec472c29b993dbec1ec4ab74f08f9e0acd323654c9
71,lh,79,80,72,0.35764259099960327,241,969a6c4efebe1e695dac9dd50c2f00443751b49ba87d2e191a1329a0588df103
72,lh,204,205,73,0.354270339012146,167,096c92954c3a61b551217e0dd868f7137a8dc204c68accc5f9938dcdc7427784
73,lh,1,2,74,0.35341551899909973,346,2974e0c93b552c8d5bed22eb807245b1b3fc08a4ca2dc34ac80cb6939f7df285
74,lh,176,177,75,0.35303643345832825,318,71dd46041e564bf435d0cbd732dcb609fb9aeef8bc0eedcad7e0ada524e5fbe7
75,lh,4,5,76,0.3491996228694916,276,240f505b8b4e5b8f99ff9c853d9c278b7abb1c53739c693f1fcddd2c4ed49243
76,lh,243,244,77,0.34825095534324646,238,4bc59ea7f8bf0595b5a53cbd91e66df34d603b0e7a368f68481dac7fe6e948a5
77,lh,175,176,78,0.3476679027080536,267,0bdfc6034aab8d968886a7fa607c6a2ebf15b665bbae379a2f0955f2d6a8fde5
78,lh,374,375,79,0.34613126516342163,236,23fb180b8ac09a542fef36d5d52dbe3718cc14f7e30fedca71c354b0866fadbc
79,lh,180,181,80,0.3446119427680969,204,d06bbff266be0b8417dde2943ff574764698de861b12c9ab1a6c480a8d9a51a7
80,lh,194,195,81,0.3439388871192932,246,54b357110e4e5d57acb73d7c5f234252d517db14979b630bd2d95ef88bd6a063
81,lh,231,232,82,0.3349948227405548,175,b34a2ce2829ae92efb5cc666ba1b093e54d0015a331e164a0a4fb8eb4b5abe4e
82,lh,103,104,83,0.3327607214450836,155,637aa2964e3b0de3ce857093759f7e37253b506eaa6002015acd117c199eef2e
83,lh,208,209,84,0.332105815410614,176,4f4c27f7ce5ab0c0201f2ff97d9eef289e4e70be156dcaef51794508bb68b5ae
84,lh,207,208,85,0.3317497670650482,277,6da7d19ebf33ed42e786b1d30e5e989a61de4557811fade4d140cf941da3a14c
85,lh,473,474,86,0.3313343822956085,123,d1496230ac8a16160470fa3b9ad915500d0e55ca274a7774371ea6cce20467ab
86,lh,2,3,87,0.32777121663093567,214,144ad41d6be56c5d0ff553ed88ed02243e91b2fbeec44aad9db397a2bcdf3115
87,lh,499,500,88,0.3268134295940399,439,003f6fa090462035637ac35e0154708f40ce94461013b035bfefb6d17a71f464
88,lh,276,277,89,0.3260318338871002,319,7827cf95a80239907e3afb5ab485d4554b4a53897142d7937f762d98abba8e50
89,lh,47,48,90,0.314626008272171,189,dfc3ae7e5df56613258d483321eca69945b792371aa8bb0119c0f6e98c19304e
90,lh,466,467,91,0.31283098459243774,447,7a338ffcb309b7da7f843d29b281147134aa43324e42c8d97f2e9af7aec730be
91,lh,30,31,92,0.3094053566455841,327,821f7fa2cf480df489293fee337fc792692674a85267d8f3d75d809744e4306d
92,lh,283,284,93,0.30758869647979736,185,1d7cecc92562323d75dd132c1fab4db7151e15beae40e846c5bfb662d4ad52d6
93,lh,221,222,94,0.3074784576892853,302,9ed051c8aaf842a4252848943b58bc75766027cd39e899ce455ba6ef1cde930a
94,lh,19,20,95,0.30688461661338806,214,b78d75768bc181927415b9d0b1b5f28e3600512a02ec56b87aff291cd1426372
95,lh,479,480,96,0.30589643120765686,192,9453f4326e503d13aefcd899d1a4249cc1088454c1204af1cb883f392c162e88
96,lh,356,357,97,0.30550098419189453,266,70a4a39a9cf19c588fd78d61c5ac0a015d12edaeb1e6c58704f0609bc9f19aa3
97,lh,373,374,98,0.3048357665538788,143,f81b609e19ad331086c410af17c49e68dece5c39361f2499e1610d2f6bca1da9
98,lh,193,194,99,0.3043085038661957,320,77d7c5e8e1b497d2ec16cc423792e543e0c07cb88c839939f5cd1f21f2f77b8e
99,lh,219,220,100,0.3034372627735138,292,7e660056e03725b1034699b7da64a278cecc8424b5edcfb73064d2fefdafe183
100,rh,190,191,1,0.8820629119873047,205,2f05d03b409581329abd845fa291b4858e20413d0227b7728466d4cf96e7c209
101,rh,16,17,2,0.7969893217086792,440,5c0c9f61a66fd253ab9c113c616758e6b14c2dc2c607023fb0a7829519d7bc38
102,rh,33,34,3,0.794450581073761,280,067cc15ec94635b73b6370603044ce843ad2f5ccdc56273189fd9239e6c12cb3
103,rh,24,25,4,0.7783543467521667,192,03e93428eb60a5ea4f6ad1269d5b225e300b63f75f17c9de015e158e819a54eb
104,rh,185,186,5,0.7581679224967957,173,ccd261c640da68e5b50d3c750ce1cc0277239b820e5fb55e97513a6daa0a2f1b
105,rh,52,53,6,0.7489200234413147,156,fdf0e0d307dd395883c60720e4e8df082f143b7d060758e1ea448c9280e3c540
106,rh,191,192,7,0.7405180931091309,294,b84d66f09e9897f499a6bb8c2079fe4ee241f9869328dbe67d539262922e2522
107,rh,28,29,8,0.7308821678161621,306,24928db7603716cc3eabd89978057abdc52a4a1bdeee6ee4bf15de458dace811
108,rh,37,38,9,0.7057465314865112,265,193c7e02319bd69affb3e277fb776e2bbe799a0a2c54b2b2ef6be27ede133a85
109,rh,45,46,10,0.7047218680381775,210,b5fc5bf682f0cb5bba4260b0fafbf7703679023dff299a1224df53007cf95ca1
110,rh,247,248,11,0.704392671585083,295,a1aeabf1d408c5bfa69049a33f8a9207bfd5aacccc0006d2b8d100f9c0c41a0a
111,rh,192,193,12,0.6780449151992798,252,11d02005104412fda30e2664d7a2335b169d26dc13a524716885c191e5e74c2a
112,rh,11,12,13,0.671980082988739,254,fb6f303af9f2dee63d950411f0340f6419068eb74c8a72f5e61671e96b542a09
113,rh,48,49,14,0.6666034460067749,296,2e1d95e7c07f9328383858d914c72b049eb547f285b64d7813db1f7e6b277855
114,rh,58,59,15,0.6665645241737366,184,d7616c712b38107ad71d6cc209dba7a7e6ff45869e537b5ec969f87f4385ba86
115,rh,29,30,16,0.6453737616539001,285,e182ef549e2de4b9d02ccba664a18b0abdb8ce5747e7cac7ea7e786a054d3704
116,rh,57,58,17,0.6341803073883057,228,e713cc02b37f2e91d5f417afd9a79396bad64f5e87125792d63f4f827abb9b9f
117,rh,42,43,18,0.6138092875480652,212,614d53d0e75c9bc706d83bc3d19e3befd9fe9ce379e19f390497d252646bf0a3
118,rh,20,21,19,0.5975874662399292,300,62d33485653114759abad297146f1e382c8c0039eea1368a6326c54114e504e2
119,rh,224,225,20,0.5871975421905518,244,53e01a4daefab86f1259609dcfa964bc6d0eea0bf4045e1ad7172f37d72862a5
120,rh,189,190,21,0.5772696137428284,411,d31ba9b8e1ed79740df8e6805986741999d3125be2f720439a99c60abbd46821
121,rh,245,246,22,0.5746031403541565,284,2fe9abd8f5a5bc63a9b11eb7f0a818aea2db6d63fffc7d26e92ff0ac7b91e2de
122,rh,7,8,23,0.572909951210022,365,30fd4859340c442803641ff3b9e2e717c1d56d96abdc1e9e1c47c89c8b807f5c
123,rh,17,18,24,0.5699483156204224,241,7ef3b3ed3289b0f206966c9ef1ecb3e0f5b4d31b843178911af069272f0c17d6
124,rh,44,45,25,0.563030481338501,322,23a053598fe1b033f1966609fa41a37990afc85928f40725612c0c82af3d386e
125,rh,187,188,26,0.5621882677078247,343,5161e2600abe9b089d93ca1d69836eadc6493e00902c8d880019ba0097a977ca
126,rh,68,69,27,0.560015857219696,253,34459fe82f827ef5a048c5dbda7d0a85cbf9f66672550d55883801da655031c2
127,rh,50,51,28,0.5553853511810303,379,4879437b8a0a3a35c5d4bcbb4f1eabe187632bed9a758d8c6c963968b2b78ccc
128,rh,76,77,29,0.5537439584732056,315,9adbd8d0f9019ff47607177745d676dcefdeb152fa726ede315bd804305fb2e6
129,rh,412,413,30,0.5526844263076782,300,7d29c9ea251c170670513a932dafd0ca899aab1804ccf73d4d0f852542d48aa6
130,rh,36,37,31,0.548660159111023,165,e044c16c849e662ea5bb138067eae1ddc1ab5c0ec715235675173012607eb392
131,rh,8,9,32,0.5463010668754578,327,edde2cf6916db635fea602ae62a95f363abacc95f2853a3cc2b3cd14751c53d8
132,rh,6,7,33,0.5432421565055847,310,0c451d4a870628c33d0ec5627f4495633e1230bc3a4bbd1bc59ca97938495223
133,rh,27,28,34,0.5385251641273499,197,0cba90322a52c86464386da57d90c6f17dba34d6b5e74e73f1d3f66ab81dacea
134,rh,60,61,35,0.5336077809333801,302,063aace81695689697a7f5807c225d13f64e2c80e649c0482b8af5f9e29e1880
135,rh,12,13,36,0.5278515219688416,249,0b4c48429e31657cd34ef5cb9d774ed186d98e454c8e3550c3f5b10c2a24886e
136,rh,193,194,37,0.5264740586280823,221,23764ed49fd7b1a6b34b35ddef7c0a380ded2718442c4888f6cd0a87407524a5
137,rh,252,253,38,0.522820770740509,203,723068d86f887ff8f5227a7210cbeef5116df65343673e0a7b73363190bbb791
138,rh,1,2,39,0.512506902217865,430,4596144b3fbe35e936c216fceb6c54fb7ddda368e85f8e3e8b14bace7afc1918
139,rh,61,62,40,0.5084714889526367,161,a974674ff8027c7e4751fb10d225918f8e2234da8bbef710517f26c9e5c992c5
140,rh,71,72,41,0.5040353536605835,182,133f7340cf6df9b62ada520d8279bde37a7882385de9cbb4520c75d6cc5ecf8f
141,rh,483,484,42,0.5007970333099365,434,99d4261457a4f0a19d5022bae59f6d5dcec1d4484dbd3dd260ae89a682127ba5
142,rh,66,67,43,0.4983658790588379,204,d2e2dab457b85eb94ba8a4b74de8d467604b358416ae145f40049636e1e1741a
143,rh,19,20,44,0.4982433319091797,224,12cf2f3dc460d914838a8bcc7fba714179f43ffbdbe5b3218d29f5ccbc982d25
144,rh,414,415,45,0.49675253033638,195,a5cd6a8a90c84ec72d29a3c73db054c345ed310f3d59f9420b26a5b30c7f27d1
145,rh,14,15,46,0.49633944034576416,216,6998ae4bef9e04b3fe3fd1aa71da94486deb1f2d78f42f289567717cff9d47c0
146,rh,358,359,47,0.49398019909858704,243,f2b4d20144119d2cfbda67ec371f8efe57629858b834802490c045af34185d05
147,rh,34,35,48,0.49031317234039307,329,a94af08a6aebb8731f19543e8a25a602420a36c71150a47acc969a9ce0b7a06c
148,rh,184,185,49,0.4778825640678406,301,4b663578d95614b471102019904c75be610df3f89f27eacae09a17179eba89f2
149,rh,387,388,50,0.47452762722969055,262,ccb97a7924bd879c0a19aa51dcbd055502ac2f4659141395009e096bb91b210f
150,rh,13,14,51,0.47259294986724854,178,242d66ac9adb133dd6b17badb293ca4497a9519154ec01c7ac06fd4fb7d8b836
151,rh,79,80,52,0.4700580835342407,249,3441a1a1c2131f41186c1f1bbe79d3abd1d50900a763c11908eb41533c138891
152,rh,15,16,53,0.45943668484687805,280,ed0385e3295444ba05d31f81d8d89f98b08153fd190f0581b6c886c90bb0519b
153,rh,38,39,54,0.45591914653778076,233,fdd20d28df652e18ac5893ce0e237397bd68391273263a644d5f59003f8c63ca
154,rh,249,250,55,0.45569831132888794,292,a522324349f91b196aed9f7f262db6b300583f1678dfacebbdd9c64f01ca0534
155,rh,199,200,56,0.4533856213092804,379,c1bf1221a3cfe9956d3091d45992b9f34e6b1e7f7217f1fe292f27f132308c76
156,rh,75,76,57,0.44249382615089417,250,92e23f0504faf329a86bed7681d0c13b4a58608ba99cc16ca3a00540aeb69c99
157,rh,26,27,58,0.4358782470226288,297,33d3675c22bfd20505dcb272765c554cf9c420ea688c378ddd878a21d7e0313e
158,rh,4,5,59,0.42916667461395264,314,1af6ad3628d43f04831a01dcada35f671a1858931daa2083ea713301b2a11295
159,rh,481,482,60,0.42318758368492126,478,6fbeb38af5f49ef6c04f97768cfb5926fadaf8cbd33661f4fb1bd147429322f5
160,rh,10,11,61,0.4216294586658478,329,31a61ca70a2139f594e721f70ee9e6622d25dd4e47aa8448d78f6cfa4169465f
161,rh,362,363,62,0.41574230790138245,124,cd2554361367b7d528d2f252defd161617adbbe099cbce14e5c4824dfe5c8a83
162,rh,73,74,63,0.4095625877380371,192,8ac5df18987f87b6d4a58525b30197bc6cfadcf9f4f9602e94fd82635421f684
163,rh,55,56,64,0.4048229157924652,192,219928500ca6af465d7a0d0ed1d061bf80d219877d7639d34860018b6778951d
164,rh,51,52,65,0.40456563234329224,325,d50bb3cfa72a1584e9168b253d7115c311fa5aa1d8d6da1f7612e46f27d56801
165,rh,196,197,66,0.4017547070980072,197,56f5a66bc9458e9cd9890ab38b9d9b1d8ec3e0c3c2658414bc66e712b09144db
166,rh,25,26,67,0.40159687399864197,190,ef01152703953a60742cc814578d58adada7328445ba01fabb76fb740517e55e
167,rh,497,498,68,0.3935374617576599,434,a32e09b8462ba017ab217732fbae21dfb873a0bbb8d0649ef7581ee6621a7906
168,rh,5,6,69,0.3911610245704651,257,856f59cfb36f6ff541eb31b290e0190b8fbb8413fa06218c6465aa5c976f7795
169,rh,59,60,70,0.3879193663597107,172,de1cb929cf2b1ee2761dc37badfc1f6db7ba7567e53d906511e4fd96d19b3765
170,rh,415,416,71,0.38539180159568787,274,8dbc64c9f256c7c2433acb882fb6235f1e9e2062cb7adcd0550afdd900787d3b
171,rh,2,3,72,0.38518089056015015,626,42214c01dd8fd37135fb07c3d58872c2fbe452d31fec808a4c1018518b5f94d3
172,rh,389,390,73,0.38496118783950806,404,e572f5985e591655aeaff4215d52400f395765b8b5c64ce82a12065141a373a9
173,rh,215,216,74,0.3821990489959717,222,14c247b3e91e39b98807b11970e079609eb0e5de08719a6c25f87814379129f6
174,rh,188,189,75,0.3788718283176422,289,0fcc464d5c233148a6b074754499243c9f057960e223b048738492a79c1aff77
175,rh,3,4,76,0.37595751881599426,157,19b83dbca3a0e001a23d7d79c9daa8adddb6b3f3d15751b58d2274a49538424e
176,rh,205,206,77,0.3756176233291626,227,466d3000fa95044b59f00148e5ebb6f66c446969253c7e71d931a512b2f08e12
177,rh,200,201,78,0.3672451674938202,340,f6d042db80fa86760fea478864759bb900cf35f8fba7e08f87211f0d15cbb4ac
178,rh,227,228,79,0.36567452549934387,291,726863316bb87215eecb0bfeb523c621b3fb5b4e92c9a21c042f376e817d0b0e
179,rh,204,205,80,0.3640746474266052,158,c7738269e5fadb1816e2af2e7eb4bfda41f2fda67d2dda98c888ad354c633b61
180,rh,390,391,81,0.3636428713798523,223,9b6072eb723266728c5fbbee87ae30c059cb2bdaf765a9577607e26f46cd9d08
181,rh,186,187,82,0.36255505681037903,448,967a45c7b73f0a8fb0743e5813868ceb638823182c3da44bc1718e23d78afb01
182,rh,417,418,83,0.360970139503479,295,50e1c4358d83fca1f31f13b396acf474026cc7385fb99074babb01a09e42e1be
183,rh,216,217,84,0.3607761263847351,193,67896e31df0af435f5183116edfaa93f30c56f9ab5dee20ec65d2de88820c6f7
184,rh,246,247,85,0.35992905497550964,241,0d4ef64aaf039545e8872d90674646ffda236d953965b592f0db5ad39f888ea1
185,rh,194,195,86,0.3597140610218048,213,e7570bbcfcd8b7351384e9e7aebe801d3f486ba84bf2692e44b73f0464a1eff3
186,rh,65,66,87,0.35353654623031616,232,0cf848f7ebc544c23d2caf2b88f7b509d7dbaa0da6eed7dfa5d5d39af492e8bf
187,rh,248,249,88,0.35020217299461365,461,ec87ece2dcc8039d73562fb18b89481e170fb651d60786931f84f7aec3020390
188,rh,201,202,89,0.3450150191783905,190,6c8eadb84b585a0b23e090e116b6ab434884817e3713972886394c41dd7016f4
189,rh,195,196,90,0.3446013331413269,286,8476955ac159c571bf69b94ccfb88773a1c39f9123fd29583c321960791de4d6
190,rh,221,222,91,0.33961009979248047,185,c42be600dc11ab2cfa135eb6b726328d88ca1a0d07b10818099311584a62bcf5
191,rh,480,481,92,0.3389163315296173,268,1fb6bfadc8c8757d5fe0d70cdb9118d1195503bb3381cdbeb1b537b7cecab82a
192,rh,399,400,93,0.3318817615509033,481,1429cd27f0ce60e4752a1be5abf2f0ce721fba9d076477329d40274040985f63
193,rh,256,257,94,0.33172550797462463,226,b9b17b1563cb30f418eab97751440ac745c755ad8af9e737d71c06708b7a2b87
194,rh,217,218,95,0.3312568962574005,286,d82d55eb5c09500909567976b4e5729795934733dcd78b87571b550053a1e2f9
195,rh,212,213,96,0.322196900844574,235,d1d69da1fc775d525c1ebee66c344c95686e95783b52edc7fd0d5874c8a1774b
196,rh,72,73,97,0.31855446100234985,339,d1eb0c7d71bad4f135f92692b2a60f7179cfd42d83190bf77339da382476fda0
197,rh,78,79,98,0.3179114758968353,223,4a68649709498bd0e25c0648a37f3ed5a763351f01b3bd3678aa708d831b0fe3
198,rh,242,243,99,0.3177427351474762,172,c76f3f082da27a50a04e3b33442163a9f79124951b241229cdbaf610ffa1e984
199,rh,262,263,100,0.3161357343196869,342,5976f7f1b74e5247bd5d755cdb174337ad5524fe554f9e06cd3fe3b67a638420
