method,image_id,candidate_index,uses_ground_truth,diagnostic_only,deployable,ranking_scores
C-selected,1744,1,False,False,True,"[0.7619047817704792, 0.8008309437059102, 0.7040499950822556, 0.6924089931285329, 0.7644259869773735, 0.6432454538111585, 0.7027519615538242, 0.6903246182223528]"
C-selected,1818,4,False,False,True,"[0.6459880747424354, 0.6811501652100063, 0.7165715845755927, 0.7302720945690911, 0.779949821845932, 0.7617017224700051, 0.6652958136312352, 0.7523188493412121]"
C-selected,2070,3,False,False,True,"[0.552046230169887, 0.603386963696576, 0.637445921847918, 0.7063970312621075, 0.6479714415260799, 0.6268573380117576, 0.592672469605438, 0.6095170281662928]"
C-selected,2125,3,False,False,True,"[0.7162972037677449, 0.651714739884, 0.712771555139619, 0.7905516194422066, 0.7369418966750069, 0.5950249154638949, 0.6383665371057519, 0.6903736783197745]"
C-selected,2327,6,False,False,True,"[0.6645250643500074, 0.6769959107001009, 0.7358894797322046, 0.7319489408734117, 0.7042042892375209, 0.6451893651042806, 0.7708533634001489, 0.7245139490903623]"
C-selected,2737,7,False,False,True,"[0.8627311377240603, 0.8851239862163769, 0.8577931837100214, 0.8483955751251222, 0.7749830493443375, 0.8713361574851053, 0.8829646094675243, 0.8928242616535429]"
C-selected,2795,4,False,False,True,"[0.8270877047879492, 0.7880592770580847, 0.8022600096256743, 0.8124574961016005, 0.8309094564029988, 0.8071956732342785, 0.8245536095677328, 0.784839191432915]"
C-selected,2980,7,False,False,True,"[0.8914982485464911, 0.8962540443456295, 0.899123194222099, 0.9005141298764343, 0.9019841270881002, 0.8929853065168447, 0.9105488205078507, 0.9105728542083664]"
C-selected,3338,1,False,False,True,"[0.7212658246710886, 0.7696492778607696, 0.5986636393694356, 0.7069104753305842, 0.6724100118504482, 0.661431706844678, 0.7035866923607904, 0.6224061456015368]"
C-selected,3344,4,False,False,True,"[0.6206412946861023, 0.6344030353470241, 0.5799236601411826, 0.6222632584889554, 0.6966442897217713, 0.6552380968214929, 0.6320314535344379, 0.6003107679690962]"
C-selected,3368,3,False,False,True,"[0.7007334634989014, 0.7450688421425153, 0.7241274320772808, 0.7813995117377892, 0.7312723526537037, 0.7155144023693117, 0.7112755132702246, 0.7567744977106442]"
C-selected,3731,1,False,False,True,"[0.6406904443284709, 0.7532408702795403, 0.6965284745602193, 0.6469966505932907, 0.6836642592953746, 0.6742557093185625, 0.6944488151218902, 0.7363059146767257]"
C-selected,3803,3,False,False,True,"[0.6240574888349879, 0.5290831016520411, 0.6364650976105393, 0.7431842083616056, 0.7009574135207282, 0.6873406217106248, 0.7201389533041512, 0.7264223163650185]"
C-selected,4292,5,False,False,True,"[0.6157760629849014, 0.7010711645888545, 0.5841695203070435, 0.6669645736016928, 0.6708708192417274, 0.7068423192029092, 0.6622350803802891, 0.7014632228689235]"
C-selected,4409,6,False,False,True,"[0.5253478258525223, 0.7134849310605496, 0.5719040351461884, 0.6735131927757665, 0.6563753994637205, 0.6434900383389921, 0.7188733701096677, 0.623908895577575]"
C-selected,4476,2,False,False,True,"[0.7179551010849632, 0.705409538626721, 0.7761068348902211, 0.6614774742601358, 0.5480062716269569, 0.7671771442611863, 0.6789536609122672, 0.7353925975088669]"
C-selected,4509,7,False,False,True,"[0.7580912064764722, 0.7056991936179328, 0.7434436791503335, 0.714855948202786, 0.7713150712647874, 0.7759372757917409, 0.7330633468109409, 0.7940515791301861]"
C-selected,4927,3,False,False,True,"[0.6709032457554851, 0.736983322772347, 0.7172412706677813, 0.7510790525223836, 0.6080879349096242, 0.6565586439905575, 0.7006818765331775, 0.7013486197713756]"
C-selected,4967,1,False,False,True,"[0.8228599213073595, 0.8594387374771324, 0.8249392661262922, 0.8226375273900512, 0.807802243915271, 0.8233438150862138, 0.8184419495217441, 0.8318055123836567]"
C-selected,5340,4,False,False,True,"[0.7444506501508641, 0.7963995822166681, 0.634470258924356, 0.7531900147699977, 0.8038461753104518, 0.7162529628419486, 0.7404942443770538, 0.707073757491997]"
C-selected,5582,2,False,False,True,"[0.7409461110239651, 0.7603467452006721, 0.791809201451051, 0.7200500741192692, 0.778315077944162, 0.786304141787971, 0.7027549071723967, 0.7473007502628976]"
C-selected,5656,4,False,False,True,"[0.7336016171392705, 0.7033425097817483, 0.654482453019089, 0.6688357015791211, 0.7783894905163753, 0.7277305311663522, 0.7509673082244335, 0.7129054211783055]"
C-selected,5683,7,False,False,True,"[0.8010637398486242, 0.7231767749814537, 0.6788054107451387, 0.7964419015744145, 0.7331604699633366, 0.6899625701071532, 0.7350351433242335, 0.8191263502071473]"
C-selected,5790,7,False,False,True,"[0.7739042441323921, 0.7829897827824394, 0.7485791266686123, 0.7228243787680118, 0.7277304992599871, 0.7637663946368273, 0.7101794092982834, 0.7995536314116414]"
C-selected,5929,0,False,False,True,"[0.7501924120288668, 0.7217080184547905, 0.6595897737579404, 0.6970436063389844, 0.717876712147418, 0.6635196587642298, 0.6447663587269659, 0.5203993334957947]"
C-selected,6315,3,False,False,True,"[0.7535935410995386, 0.767437473400781, 0.7322522660089343, 0.7905640413351835, 0.7402810635798354, 0.7764423240275826, 0.6434045168276508, 0.7421713779318277]"
C-selected,6360,0,False,False,True,"[0.7244317471182539, 0.6360522553528556, 0.6578463731586469, 0.7022681030605485, 0.7085384464752256, 0.6342898106448749, 0.5807892923738744, 0.6459419075969599]"
C-selected,6454,2,False,False,True,"[0.7620011361813028, 0.6995241563009875, 0.7999980201509698, 0.7325601198472844, 0.7875674258656886, 0.7068471260307223, 0.7905534017572673, 0.7245663784547353]"
C-selected,6603,4,False,False,True,"[0.7386146716183741, 0.7434835247308172, 0.7734665284195474, 0.7081411577197266, 0.8232243604642777, 0.7224327256579264, 0.7273230696127253, 0.6951187186515895]"
C-selected,6750,0,False,False,True,"[0.773548289573534, 0.7138578948792893, 0.7315332438258846, 0.7444280790045749, 0.7586701179283261, 0.7044543273639248, 0.7129655751184951, 0.7463786211394113]"
C-selected,6759,2,False,False,True,"[0.8650440184856159, 0.8626679478705731, 0.8728069167308354, 0.839096911934871, 0.8570385412722805, 0.8534730964489783, 0.8576752872320411, 0.8295499640805927]"
C-selected,6770,6,False,False,True,"[0.7721567333422037, 0.762748158222432, 0.741872495006522, 0.7903052163809817, 0.784536648842254, 0.767549281524113, 0.8026544834064954, 0.773463044169509]"
C-selected,6991,1,False,False,True,"[0.7011098470098627, 0.7134672367919266, 0.6484727285882945, 0.6848722421701688, 0.6670507815352291, 0.6521805215992761, 0.6381488791378378, 0.6791021075142677]"
C-selected,7306,1,False,False,True,"[0.6894624946150237, 0.7458391238607035, 0.659205713983277, 0.7356155373225566, 0.7228662900768477, 0.7111392152963496, 0.6687706799713591, 0.7152209803384377]"
C-selected,7355,1,False,False,True,"[0.6265080155389016, 0.7201467017479504, 0.7085564698010722, 0.6262728856836586, 0.7068017148923407, 0.600491698015319, 0.6007436408534588, 0.7151660675425193]"
C-selected,7899,6,False,False,True,"[0.6000202196916492, 0.6786602241674355, 0.6483149827568595, 0.7113913256740602, 0.5786514902136487, 0.6888526907725241, 0.7360665345645696, 0.612754976853553]"
C-selected,8061,2,False,False,True,"[0.6656658001110729, 0.5586995761909523, 0.7486321857294019, 0.6984798673260477, 0.653177323142897, 0.6726568779057712, 0.6109634580214294, 0.6542200800466631]"
C-selected,8215,3,False,False,True,"[0.6305973605349923, 0.5794320150848508, 0.5327808181412643, 0.7295234160926136, 0.6819940297490827, 0.6637156870559108, 0.6138533942466378, 0.708190705557203]"
C-selected,8234,7,False,False,True,"[0.7565977017742261, 0.7681067798823803, 0.7921697588667453, 0.6834041979464551, 0.7688302237691903, 0.7432698359797465, 0.7282090011659074, 0.8110709870426708]"
C-selected,8238,4,False,False,True,"[0.7877926271086951, 0.7928634928753949, 0.7805530781288468, 0.7317133952874245, 0.8069915219136383, 0.7054784608983673, 0.7475814690072822, 0.6915469970219558]"
C-selected,8275,6,False,False,True,"[0.76201454133965, 0.7250233344257965, 0.7691424256321493, 0.7663305637969814, 0.772299041900918, 0.7232319549135406, 0.8013395117095176, 0.7446739242652369]"
C-selected,8367,6,False,False,True,"[0.7740057061801539, 0.7595462106166438, 0.7347463159133906, 0.7152173480128987, 0.7472640899829368, 0.7504177536930327, 0.7984453739165884, 0.7586911638095797]"
C-selected,8828,2,False,False,True,"[0.8129563353117818, 0.7933174850774358, 0.8520652636629645, 0.8394577225872022, 0.8291190326845501, 0.8120752530709802, 0.7965252639956764, 0.8310596305035115]"
C-selected,8862,2,False,False,True,"[0.7764116540973977, 0.755579688280317, 0.7767050265811716, 0.7748423431240548, 0.7538782534858386, 0.6949753062058732, 0.757072121459922, 0.6776038163544341]"
C-selected,8926,2,False,False,True,"[0.6708673596044465, 0.6544422498525266, 0.6972545574090154, 0.5844168035399858, 0.6903563115025895, 0.6811254025953528, 0.67818758222644, 0.6054315293587706]"
C-selected,9188,5,False,False,True,"[0.8414544038742573, 0.8360522424005628, 0.8375119679368613, 0.7601387667917963, 0.8371656913724885, 0.8545699754223227, 0.805489778033152, 0.8444113221791689]"
C-selected,9298,5,False,False,True,"[0.6876708571473665, 0.7027491992656878, 0.7401029719435406, 0.7233472730873673, 0.7809159575291411, 0.7944746213227736, 0.7430090225905315, 0.7248167381468644]"
C-selected,9376,3,False,False,True,"[0.8733091774933963, 0.8786061252402696, 0.8337573937398949, 0.8847775935365154, 0.8686777471462714, 0.843204012118707, 0.878529281798944, 0.8715702145967321]"
C-selected,9712,4,False,False,True,"[0.5618261176329933, 0.5994237850980961, 0.626845934359624, 0.5223942882543542, 0.697524414742992, 0.6568158912047468, 0.6806211660526728, 0.6537017432334646]"
C-selected,9877,2,False,False,True,"[0.7991669433027084, 0.7715979793203777, 0.8100458130769606, 0.739213547741982, 0.7615638701879889, 0.737616141479589, 0.7768174648220366, 0.7861136616906874]"
C-selected,10115,3,False,False,True,"[0.6400396688367131, 0.7141165658782467, 0.5230756878807648, 0.7466321510586238, 0.7164121310823564, 0.5673865018563843, 0.7140077675674854, 0.6627702703062406]"
C-selected,10191,0,False,False,True,"[0.8760271569203075, 0.8163141274190044, 0.8642618941847737, 0.8416816968023724, 0.8574968013953865, 0.8011274757941514, 0.8250068138869144, 0.8273865996668643]"
C-selected,10361,5,False,False,True,"[0.6660996047581457, 0.7130485502444472, 0.6965576549558143, 0.7441558139094877, 0.7250982543626703, 0.7586751729852034, 0.7107268800943143, 0.6223444359246408]"
C-selected,10602,2,False,False,True,"[0.8051714192531597, 0.8135324344712593, 0.8250253463456936, 0.8133105346664462, 0.8240360576845749, 0.795501485582998, 0.8183738063412034, 0.8248458368719338]"
C-selected,10622,0,False,False,True,"[0.8098919866265512, 0.7445639968900402, 0.7705961834949504, 0.6925178933283562, 0.751530759631801, 0.7183284456982539, 0.7735457773645913, 0.7494122070112175]"
C-selected,11050,4,False,False,True,"[0.6898380462783412, 0.6249897541599088, 0.7183969492049457, 0.6865515345485311, 0.7636526380321391, 0.7352320899432948, 0.7571016652862484, 0.6027507442879217]"
C-selected,11274,5,False,False,True,"[0.7631619175548181, 0.8113113169923155, 0.8444535325199067, 0.7622370914113845, 0.790675814982026, 0.8748566932287497, 0.8453522685247505, 0.8328421621392479]"
C-selected,11493,3,False,False,True,"[0.6973162508306325, 0.7361064573875273, 0.6895281687338264, 0.7578280906366323, 0.669298844416589, 0.7078868357772163, 0.6276162648220984, 0.6405401630236414]"
C-selected,11757,5,False,False,True,"[0.7578107654012428, 0.7179264930734386, 0.6835781799196967, 0.7709488206101744, 0.7700108480677426, 0.7844063295729535, 0.6567928621847294, 0.6247012323909632]"
C-selected,11886,4,False,False,True,"[0.828000928987453, 0.8236730916492274, 0.8392085403770586, 0.8054495892106202, 0.8420698083638924, 0.8220198384653461, 0.7810947240732466, 0.8223328655927341]"
C-selected,12122,1,False,False,True,"[0.69631206973777, 0.7616592988977444, 0.7485393268438778, 0.6617247394364862, 0.7104196686316107, 0.6955619752661287, 0.6599207966667957, 0.7176472383928606]"
C-selected,12225,1,False,False,True,"[0.7269817727999939, 0.7971996575539679, 0.6939846019128739, 0.6225129444773838, 0.6079821880776841, 0.7521003633496501, 0.7242290408343651, 0.6206056332096217]"
C-selected,12292,4,False,False,True,"[0.7080773160405283, 0.6146400370335665, 0.8059291376189156, 0.826693852932256, 0.8576186438636783, 0.7872411064992622, 0.8172501294968205, 0.7994435689741628]"
C-selected,12340,6,False,False,True,"[0.7406687681967774, 0.785442892687563, 0.7840796243436063, 0.6798153044324288, 0.7896996784401762, 0.7518738325552894, 0.8010374676023526, 0.7764256090687249]"
C-selected,12386,0,False,False,True,"[0.7402849974614946, 0.6718841828440713, 0.6889201583286111, 0.7098554808891369, 0.6752018113732339, 0.6403795072370685, 0.6806293518404514, 0.702229592158195]"
C-selected,12597,2,False,False,True,"[0.5594279075969524, 0.6654798848887695, 0.691041687006219, 0.6758055978843638, 0.6278559496461379, 0.6571870053851856, 0.601575883239633, 0.6023104024135544]"
C-selected,13041,7,False,False,True,"[0.7529653684990375, 0.8108890026192822, 0.7935363198232982, 0.7407776202166774, 0.7425226168467354, 0.7602407604865605, 0.7028374053593742, 0.8297812180662454]"
C-selected,13134,3,False,False,True,"[0.6777803049624713, 0.7145674088238162, 0.6910734863853599, 0.7508280472613071, 0.7150319270324432, 0.7285483442667064, 0.7122779455780985, 0.663672342389048]"
C-selected,13223,7,False,False,True,"[0.6897653490660047, 0.7609414547057824, 0.7265645894174122, 0.6765837901654621, 0.7619113952352953, 0.7712818200154948, 0.7348796641875637, 0.8204203521058316]"
C-selected,13298,3,False,False,True,"[0.7712614694262737, 0.6720620957140699, 0.8000750697088135, 0.8206758007301449, 0.7819314240377458, 0.7854010781924735, 0.7890248134170779, 0.774447028292202]"
C-selected,13587,4,False,False,True,"[0.7844279749765961, 0.6619223329370445, 0.7261743733342144, 0.7581988297250936, 0.7891113980922158, 0.731353844738778, 0.7168562045576752, 0.7277097320320545]"
C-selected,13703,2,False,False,True,"[0.6975688790399032, 0.7149634434599867, 0.775705051897777, 0.6990970127562602, 0.7212443368316397, 0.7185111160974542, 0.7655328107954127, 0.75785604686667]"
C-selected,13741,0,False,False,True,"[0.7219566589774693, 0.6957513159341597, 0.6874969723777955, 0.679821817275132, 0.6128122739908315, 0.677288404061827, 0.6838146437709041, 0.7184334592619799]"
C-selected,13749,1,False,False,True,"[0.6171022277480307, 0.7338242289708774, 0.6624771493565491, 0.6960910589394538, 0.6013560893168701, 0.5547312162660981, 0.685880588424107, 0.5236039474881593]"
C-selected,13826,5,False,False,True,"[0.6836025923124521, 0.7556020870395288, 0.7240970902830987, 0.6712302622575881, 0.6665343079551028, 0.7791248582334567, 0.6518909205576353, 0.7621022754655262]"
C-selected,13842,0,False,False,True,"[0.8559398017334691, 0.8446939776470013, 0.8473517421382901, 0.8363511815654397, 0.8093024598897604, 0.8065201020521486, 0.827441643519862, 0.813804749604322]"
C-selected,13879,2,False,False,True,"[0.6363140866491312, 0.656089652150714, 0.707488786024641, 0.6284707811143508, 0.6108002094003095, 0.7036409952812336, 0.6888578743350731, 0.6907526366622301]"
C-selected,13895,4,False,False,True,"[0.6909222037990235, 0.6599249768149962, 0.6903942144708617, 0.6852835449671728, 0.7369664839737193, 0.7195157611196139, 0.6477427845924058, 0.6983334494104438]"
C-selected,13938,0,False,False,True,"[0.8842420277407794, 0.869839150643543, 0.8187794941958353, 0.8379115661062729, 0.8469026754909577, 0.8714120284157371, 0.8503971304322184, 0.8643121610224023]"
C-selected,14049,5,False,False,True,"[0.7200082272650351, 0.7869654167165597, 0.7931963541681282, 0.7388957430174526, 0.7848599359640973, 0.7958194258531528, 0.7612108832159545, 0.7739605262233469]"
C-selected,14170,0,False,False,True,"[0.8377747264486702, 0.8165955550409351, 0.8246187177156625, 0.8186970448408424, 0.8298467367886082, 0.8083409615902548, 0.7913785958020948, 0.8208676097867253]"
C-selected,14245,2,False,False,True,"[0.8286425304070488, 0.844860331798208, 0.8828467684441778, 0.8518067172102425, 0.8672124922003324, 0.8276776912105854, 0.8736282375596482, 0.8825405022256438]"
C-selected,14274,1,False,False,True,"[0.7389713956491673, 0.7985082279396016, 0.7263027406113217, 0.7452702882329212, 0.6993848439798516, 0.7393713758590561, 0.6739522885956648, 0.6816744690845747]"
C-selected,14728,0,False,False,True,"[0.7253883982401403, 0.6968235464988852, 0.6687311184727739, 0.7212268290602505, 0.6541357496720179, 0.664818929812761, 0.7037214320962036, 0.6734694030904058]"
C-selected,15068,2,False,False,True,"[0.8847555461517238, 0.879303698357292, 0.8893688038585283, 0.8547100158198626, 0.8598289969801477, 0.8736448102372788, 0.8736033041084803, 0.8750579242876768]"
C-selected,15181,7,False,False,True,"[0.7558791067706114, 0.7820378243408779, 0.7794218579457663, 0.7045930827465305, 0.7112781911567331, 0.7697957785978327, 0.7360730230927063, 0.7898733244794798]"
C-selected,15182,5,False,False,True,"[0.6295284865419657, 0.6326300889328949, 0.6747279122137897, 0.7192410893994008, 0.7314419426518703, 0.7369735022213458, 0.6427580300612956, 0.6987464295248919]"
C-selected,15191,2,False,False,True,"[0.691016447739708, 0.6656091209186347, 0.7795786021791165, 0.7065053558892611, 0.7162608479038246, 0.7485735140028312, 0.7518417310031424, 0.7551056608296004]"
C-selected,15274,4,False,False,True,"[0.6989034730995056, 0.826804910365894, 0.8239691258424888, 0.8388238701745196, 0.840334676214213, 0.7684174395429768, 0.8387030942447513, 0.7346196028022052]"
C-selected,15386,6,False,False,True,"[0.7838663350121973, 0.7501531071017948, 0.7416453866890996, 0.7484893995323163, 0.7694795673330816, 0.7266157967104305, 0.8043695728721341, 0.7079844887140297]"
C-selected,15438,6,False,False,True,"[0.7064467280805445, 0.6982561507355386, 0.7223723507449714, 0.6824394008660281, 0.7367438231039989, 0.7647679994387206, 0.7762775092283445, 0.7708600900071815]"
C-selected,15516,0,False,False,True,"[0.7495282757044625, 0.6603469911485121, 0.6994907658398403, 0.6476290010648854, 0.5945755102435204, 0.6963630925794757, 0.6668577507963662, 0.6617913512689096]"
C-selected,15631,0,False,False,True,"[0.8150710080846614, 0.731452595894156, 0.7017325454834464, 0.6995510567492813, 0.7557722269458135, 0.7327380438738891, 0.7966691981673898, 0.678419059135025]"
C-selected,15632,1,False,False,True,"[0.6610216709947099, 0.7497659197032011, 0.7244994912494982, 0.7038999960341602, 0.6678054842175891, 0.7129013318710863, 0.7256015325205383, 0.7036054197719173]"
C-selected,15865,6,False,False,True,"[0.7126874819627911, 0.6733908751336883, 0.6831195963423902, 0.6397880468413566, 0.7303516015056983, 0.6837832020289101, 0.7844575815693284, 0.6832333529895591]"
C-selected,15898,1,False,False,True,"[0.7870894013488783, 0.8046630598422324, 0.7860981177195411, 0.7129127692540274, 0.7532334673069983, 0.7954338684750771, 0.736524074090285, 0.8016438741937892]"
C-selected,15953,3,False,False,True,"[0.6743001446699802, 0.7285102745111293, 0.648698602316454, 0.7327906940093647, 0.7009137886796034, 0.6782190755017111, 0.6745318813494181, 0.7080935671322912]"
C-selected,15985,1,False,False,True,"[0.7248045759970485, 0.8280313901454455, 0.7406717032261234, 0.6752615616057527, 0.8129346932755885, 0.6923557670616739, 0.782068841509455, 0.7267390029939567]"
C-selected,16251,5,False,False,True,"[0.84025070504092, 0.7654496833570685, 0.8142855725384736, 0.838554043748398, 0.7996619970172669, 0.8649503642674631, 0.8163672240947828, 0.8386962301452718]"
C-selected,16424,7,False,False,True,"[0.6851755587985314, 0.7290563249063491, 0.6665221153746166, 0.6887104418293271, 0.7309682516113221, 0.7057649993623325, 0.6578848439143918, 0.7375116075235606]"
C-selected,16525,1,False,False,True,"[0.7084106578528289, 0.8117633674232423, 0.7501578170201022, 0.7655583325115587, 0.7266469749087178, 0.6726444984494935, 0.7301870036281302, 0.6760497368625265]"
C-selected,16625,2,False,False,True,"[0.8810567114339318, 0.879092841505853, 0.8871756692121415, 0.8836457241183118, 0.8765867124602281, 0.8692168014757765, 0.8635738308398053, 0.8805714357407797]"
C-selected,16718,2,False,False,True,"[0.7211980921008303, 0.741196583140258, 0.7934031203446408, 0.724732277478957, 0.6849452551555023, 0.6714121403206863, 0.7211450409798308, 0.6910181481541695]"
C-selected,16800,3,False,False,True,"[0.6444815242503403, 0.6751958865638952, 0.6862082442594297, 0.7572267650912003, 0.6499867076918124, 0.6963919190984633, 0.6558072958287362, 0.6326302463302628]"
C-selected,17017,6,False,False,True,"[0.6754471041527198, 0.7280710358124506, 0.7735771818663261, 0.7097152736568823, 0.7806474976368019, 0.7502214208410605, 0.7821538791969498, 0.6731773257466895]"
C-selected,17605,0,False,False,True,"[0.7757402371146387, 0.6867497489474625, 0.5618668680997358, 0.7422946512047544, 0.7702739465450894, 0.6946220641646885, 0.7428458905281455, 0.7426625194293723]"
C-selected,17651,1,False,False,True,"[0.7420531140911876, 0.7987717160721028, 0.6940019251320846, 0.746979466787244, 0.7443889092411324, 0.7939448234284544, 0.795881722643472, 0.7310740532110599]"
C-selected,17795,0,False,False,True,"[0.7990481960717226, 0.7540470701436739, 0.7780974622289485, 0.7964729391188508, 0.7114042616350527, 0.7407462470175269, 0.7052118128242408, 0.780341280045485]"
C-selected,17843,6,False,False,True,"[0.6439892824820987, 0.7261065031618059, 0.6975249418755363, 0.7067718043392521, 0.6638665127964705, 0.6754594243982793, 0.745684439866704, 0.6994972385847118]"
C-selected,17865,7,False,False,True,"[0.7803740409258704, 0.8298477253401922, 0.7788551486111963, 0.8121315486981626, 0.7784551377868172, 0.7608754081592086, 0.8134557879536168, 0.830108201667016]"
C-selected,17946,0,False,False,True,"[0.8037667164816524, 0.7044914634155461, 0.7684045203441066, 0.6914388926069416, 0.673677704524112, 0.7248708522705709, 0.6932520416625526, 0.7318738316249928]"
C-selected,17987,2,False,False,True,"[0.6792023934099489, 0.7058288412557179, 0.7587430638897388, 0.6949365447407365, 0.6764694617824943, 0.7496654986897113, 0.7374897417896747, 0.7179907116703528]"
C-selected,18115,4,False,False,True,"[0.6617328232500679, 0.6653807898147799, 0.6854437823192352, 0.5826340529468088, 0.6894265631529759, 0.6881068942586728, 0.5933919404308535, 0.6839673222910329]"
C-selected,18159,4,False,False,True,"[0.6986450240062603, 0.7713723001799782, 0.7282530333465693, 0.7693398106147564, 0.7846274323293353, 0.7110588021454824, 0.770737686144321, 0.727944623137472]"
C-selected,18170,7,False,False,True,"[0.7316322677097002, 0.602244744898849, 0.6267596187959725, 0.704379976050364, 0.6962968125373952, 0.6713059198525317, 0.6501101982841033, 0.7383794989119938]"
C-selected,18556,0,False,False,True,"[0.8137460568423316, 0.7963818848375863, 0.7212706147532228, 0.7324174598307549, 0.8104871123405817, 0.7495563964590697, 0.8123238424678381, 0.7245179587150559]"
C-selected,18888,7,False,False,True,"[0.632110670184647, 0.7035010784179823, 0.6275781605612061, 0.6871463333632251, 0.6835099157944649, 0.6332010168091885, 0.7101615742086258, 0.7274297691068223]"
C-selected,18960,6,False,False,True,"[0.6621236604740506, 0.7459280572274904, 0.704752325838713, 0.7465744344497396, 0.7340892772161831, 0.7183317631774464, 0.754117801160155, 0.733884876440106]"
C-selected,19331,6,False,False,True,"[0.7889428358639504, 0.7794661521309749, 0.7946734248748775, 0.7933105246913414, 0.801431499829743, 0.8082699861859992, 0.8178033851287838, 0.7895127981762748]"
C-selected,19471,1,False,False,True,"[0.7449879957272147, 0.7585749860080052, 0.7141665231226992, 0.6952205977355859, 0.7128641394311863, 0.6461796016786613, 0.7453720046374014, 0.6790935530566682]"
C-selected,19593,6,False,False,True,"[0.5946342244046254, 0.644464857667471, 0.6558030399702648, 0.6781873453187385, 0.693599893746677, 0.7377808446880996, 0.7487985326622079, 0.6825811022803319]"
C-selected,19605,2,False,False,True,"[0.6974856860725992, 0.6861680080902733, 0.7168662153096192, 0.6887546959877027, 0.6112874116319413, 0.690971112631276, 0.6257733876153801, 0.665687801464729]"
C-selected,20013,3,False,False,True,"[0.7154238263530662, 0.7625125901255991, 0.7658722701031788, 0.7685744455281065, 0.6163335375585679, 0.6287262573644428, 0.732333720801484, 0.692774607839856]"
C-selected,20072,0,False,False,True,"[0.8406757684253979, 0.8289932228922988, 0.7753291873657158, 0.7923813882009185, 0.7583676201035761, 0.827408545314348, 0.8385478866636997, 0.792651727406544]"
C-selected,20317,0,False,False,True,"[0.7816112541729173, 0.6951129555604054, 0.7564100869760375, 0.7405003714124041, 0.7582097960487282, 0.6806734588967873, 0.6639540233624508, 0.6884937265856319]"
C-selected,20380,7,False,False,True,"[0.40598958904462595, 0.613109443855512, 0.6240127304388511, 0.6578068594047322, 0.6459277922023845, 0.5683822789741445, 0.3755152991649903, 0.7524489441522495]"
C-selected,20520,6,False,False,True,"[0.7661623447269605, 0.7874820390486503, 0.8396808403010015, 0.7103683807203898, 0.811849809908203, 0.8300640610051058, 0.8491485352144299, 0.8138108730610703]"
C-selected,20545,1,False,False,True,"[0.7358718089335499, 0.8230017735606665, 0.7744499589103102, 0.7932513677177442, 0.8223490570882959, 0.7204524477555155, 0.712487162797657, 0.7299001938260996]"
C-selected,20863,0,False,False,True,"[0.811775886879017, 0.7208408251936647, 0.7208497509751872, 0.739826403689384, 0.7082313594248484, 0.7308616192187118, 0.7552649842399607, 0.7779186957145467]"
