case,output,object,action_relation,scene,count_layout,best,notes
F013,A,correct,correct,partial,partial,C,朝右大象对应但后方多出象体且灌木变草地
F013,B,correct,partial,partial,wrong,C,侧面单象变成多象迎面聚集
F013,C,correct,correct,partial,correct,C,单象侧向站立对应但明显象牙和灌木缺失
F014,A,correct,correct,correct,partial,B,雪坡多人滑雪对应但近景人数减少
F014,B,correct,correct,correct,partial,B,多人持杖滑雪保留但队形更分散且山景不同
F014,C,correct,correct,correct,partial,B,雪坡人群对应但主体集中右侧且人数减少
F015,A,correct,partial,partial,wrong,A,飞盘运动保留但低角度单人变两人球场侧视
F015,B,partial,wrong,partial,partial,A,飞盘变成网球拍挥击
F016,A,wrong,wrong,wrong,wrong,all_wrong,黄油剪刀台面变手持翻盖手机
F016,B,wrong,wrong,partial,wrong,all_wrong,黄油包装剪刀变装饰面包及绿色工具
F016,C,partial,wrong,partial,wrong,all_wrong,有剪刀但黄油缺失并增加水果盘和镜子
F017,A,partial,partial,wrong,wrong,all_wrong,拥挤车厢乘客变成室外两人坐椅
F017,B,partial,partial,wrong,wrong,all_wrong,地铁车厢变户外聚坐且出现自行车玩偶
F018,A,wrong,wrong,wrong,wrong,all_wrong,副驾驶行李箱变室内电脑桌
F018,B,wrong,wrong,wrong,wrong,all_wrong,车内箱包变两个马桶与电视
F019,A,correct,wrong,wrong,partial,all_wrong,停机坪客机变空中飞机且机头截断
F019,B,correct,wrong,wrong,partial,all_wrong,地面客机变云上飞行且朝向相反
F019,C,correct,wrong,wrong,partial,all_wrong,飞机在空中放起落架而非停机坪且方向反转
F020,A,correct,correct,correct,partial,A,女子雪场持杖对应但墨镜缺失且近旁装备人群变远景
F021,A,partial,partial,partial,wrong,A,天空风筝保留但巨型黄鸭和前景长椅母子缺失
F021,B,partial,partial,wrong,wrong,A,风筝场变公路活动且黄鸭草坪长椅缺失
F022,A,correct,correct,correct,partial,A,厕所保留但狭窄隔间扩大并多出浴缸洗手台
F022,B,partial,wrong,partial,wrong,A,马桶缺失变成柜台和浴缸
F023,A,wrong,wrong,wrong,wrong,all_wrong,厨房炉灶变为浴室淋浴门
F023,B,wrong,wrong,wrong,wrong,all_wrong,炉灶橱柜变成浴缸
F023,C,wrong,wrong,wrong,wrong,all_wrong,厨房变狭窄马桶间
F024,A,partial,wrong,partial,wrong,all_wrong,凌乱卧室站立一人变客厅多人坐谈
F024,B,partial,wrong,partial,wrong,all_wrong,床铺衣堆变客厅沙发且多出数人和狗
F025,A,wrong,wrong,partial,wrong,all_wrong,床垫店门面变成店内餐桌椅
F025,B,wrong,wrong,partial,wrong,all_wrong,床垫商店变路边黄色公交车
F026,A,partial,wrong,partial,partial,all_wrong,手持袋装甜甜圈变成夹着条状食物的工具束
F026,B,partial,partial,partial,partial,all_wrong,整袋迷你甜甜圈变单个装饰奶油糕点
F026,C,wrong,wrong,partial,wrong,all_wrong,手持包装点心变篮中剥皮香蕉
F027,A,partial,wrong,wrong,partial,B,空中螺旋桨小飞机变地面大型客机且朝向反转
F027,B,partial,correct,correct,correct,B,空中朝右飞机保留但螺旋桨飞机变喷气客机
F028,A,wrong,wrong,wrong,wrong,all_wrong,厨房灶台和餐桌变浴室镜面洗手台
F028,B,wrong,wrong,wrong,wrong,all_wrong,厨房变洗手台与坐浴盆房间
F028,C,wrong,wrong,wrong,wrong,all_wrong,厨具和餐桌变双洗手台及马桶
F029,A,partial,partial,partial,partial,A;C,木制厨房保留但旧式搁架桌子变现代吧台和高脚椅
F029,B,partial,partial,partial,partial,A;C,木柜保留但宽景旧厨房变现代台面近景
F029,C,partial,partial,partial,partial,A;C,木柜和中央台面对应但变现代石面岛台且多吊灯
F030,A,wrong,wrong,wrong,wrong,all_wrong,椅上猫和彩旗变卫生间电视
F030,B,wrong,wrong,wrong,wrong,all_wrong,猫椅场景变马桶旁电脑桌
F031,A,partial,wrong,partial,wrong,all_wrong,厨房仍在但主冰箱与绿帘缺失变门洞烤箱
F031,B,wrong,wrong,wrong,wrong,all_wrong,冰箱绿帘变浴室洗手盆镜子
F032,A,wrong,wrong,partial,partial,all_wrong,雪地路口红绿灯变有船的积水街道
F032,B,partial,partial,partial,partial,all_wrong,保留城市路口但无积雪且增公交楼群
F033,A,partial,wrong,partial,wrong,all_wrong,大量玩偶堆变两只熊围着真狗
F033,B,partial,wrong,partial,wrong,all_wrong,玩偶群变沙发上的两只狗和一只熊
F034,A,wrong,wrong,wrong,wrong,all_wrong,男孩棒球手套变切绿色植物的手
F034,B,partial,wrong,wrong,partial,all_wrong,持手套男孩变香蕉圈中的婴儿头
F034,C,partial,wrong,wrong,partial,all_wrong,棒球手套变儿童贴脸拿香蕉
F035,A,wrong,wrong,wrong,wrong,all_wrong,人旁小牛变植物上的红色鸟
F035,B,wrong,wrong,wrong,partial,all_wrong,户外牛变室内台面上的猫
F036,A,partial,wrong,partial,wrong,all_wrong,两名迎面摩托车手变三人背向步行
F036,B,wrong,wrong,partial,wrong,all_wrong,道路摩托车变铁轨列车
F036,C,wrong,wrong,partial,wrong,all_wrong,双摩托变蒸汽列车旁站立一人
F037,A,correct,partial,correct,partial,A,户外举杯聚会保留但两人变三人且酒瓶桌布局改变
F037,B,partial,partial,correct,partial,A,两人户外持饮食但对坐饮酒变面向镜头端盘
F038,A,partial,partial,partial,wrong,C,儿童持棒待击变成人比赛中两人动态
F038,B,partial,partial,partial,wrong,C,棒球场保留但单个儿童持棒变两名成人挥臂
F038,C,partial,partial,correct,partial,C,击球位与球棒保留但儿童变成人并增加捕手投手
F039,A,partial,wrong,partial,wrong,all_wrong,投手丘投球变无手套的跑动球员
F039,B,partial,wrong,partial,partial,all_wrong,棒球投球变两人持拍活动
F039,C,partial,wrong,partial,partial,all_wrong,投球动作变持网球拍追球
F040,A,correct,partial,partial,partial,B,大人孩子同桌但生日蛋糕蜡烛派对布置缺失
F040,B,correct,partial,correct,partial,B,孩子与蛋糕蜡烛保留但不再坐成人怀中且装饰减少
F041,A,partial,wrong,wrong,wrong,all_wrong,树前菱形风筝变海上风筝冲浪
F041,B,partial,wrong,wrong,wrong,all_wrong,草地树前风筝变林边水上板状物
F041,C,partial,wrong,wrong,wrong,all_wrong,公园单风筝变湖上多只牵引风筝
F042,A,correct,correct,correct,partial,A,蔬菜披萨对应但番茄圆片变黄瓜和叶菜且取景拉远
F042,B,wrong,wrong,partial,partial,A,披萨变叠片三明治及黄色花状装饰
F043,A,wrong,wrong,partial,wrong,all_wrong,中式挂画钟表供桌变咖啡机和绿色壶台面
F043,B,wrong,wrong,partial,wrong,all_wrong,钟表供桌变显示器键盘书堆
F043,C,wrong,wrong,partial,wrong,all_wrong,中式陈设变笔记本电脑工作桌
F044,A,partial,partial,partial,wrong,all_wrong,白花黑瓶变多只玻璃瓶绿茎并增加香蕉食物
F044,B,wrong,wrong,partial,wrong,all_wrong,插花变彩色工具杯和面包
F044,C,partial,partial,partial,partial,all_wrong,花瓶竖枝轮廓保留但白花变果实状物
F045,A,wrong,partial,partial,partial,all_wrong,北极熊变长耳蹄类动物
F045,B,wrong,partial,partial,correct,all_wrong,迎面白熊变棕色有蹄动物
F045,C,wrong,partial,partial,partial,all_wrong,白熊变低头斑马
F046,A,partial,partial,correct,wrong,B,红停止牌变两块绿色错字牌且无街名
F046,B,correct,partial,correct,partial,B,单个红停止牌保留但街名牌和WAR涂字缺失
F046,C,partial,partial,correct,partial,B,停止字样重复且牌形改变并缺街名
F047,A,partial,wrong,partial,wrong,all_wrong,蹲地拿风筝的儿童变站板持球拍
F047,B,partial,wrong,partial,wrong,all_wrong,儿童蹲在草地摆风筝变张臂站立持拍且多一人
F048,A,partial,partial,correct,partial,A,转角厨房对应但窗户水槽位置和花砖挂锅缺失
F048,B,partial,partial,correct,partial,A,厨房变冰箱微波炉柜台且无中央窗户水槽
F048,C,partial,partial,correct,partial,A,木柜厨房变白柜冰箱近景且无炉灶窗户
F049,A,correct,correct,correct,partial,A,女子持拍击球对应但变背侧身且球拍举高
F049,B,correct,partial,correct,partial,A,女子网球对应但拍在身后与近网击球姿势不符
F050,A,correct,correct,partial,correct,B,单列车朝右对应但车站棚顶消失且车头式样不同
F050,B,correct,correct,correct,correct,B,棚下列车斜向近景对应但蓝黄机车变银色客车
F050,C,correct,correct,partial,partial,B,列车保留但朝左且站棚变红楼
F051,A,partial,wrong,wrong,partial,all_wrong,户外弯腰整理风帆变厕所坐着用电脑
F051,B,partial,wrong,wrong,partial,all_wrong,整理帆具变室内操作多显示器
F051,C,partial,wrong,wrong,partial,all_wrong,整理帆具变雪地桌前用笔记本电脑
F052,A,wrong,partial,wrong,partial,all_wrong,雪山前牛变平地长颈鹿
F052,B,wrong,partial,partial,partial,all_wrong,高山草地牛变远山前长颈鹿
F052,C,wrong,wrong,partial,wrong,all_wrong,仅剩天空云朵且牛与雪山均缺失
F053,A,partial,wrong,wrong,wrong,B,草地三孩吃东西变雪场两孩合影
F053,B,correct,partial,correct,partial,B,户外聚餐对应但三个孩子变四人围圆桌
F053,C,partial,wrong,partial,partial,B,三人合影数量相似但加入成人且食物缺失
F054,A,partial,wrong,wrong,partial,all_wrong,俯视滑雪靴与双板变鞋踩木板侧视
F054,B,wrong,wrong,wrong,wrong,all_wrong,雪地滑雪装备变马桶特写
F055,A,wrong,partial,partial,wrong,all_wrong,水边两象变多只斑马羊样动物且棕榈丛缺失
F056,A,correct,correct,partial,partial,A,网球发球对应但夜间空场变白天观众球场
F056,B,wrong,wrong,wrong,wrong,A,网球场变海滩风筝活动
F056,C,partial,wrong,partial,wrong,A,夜间持拍发球变白天草地抛飞盘
F057,A,correct,correct,correct,partial,A,单个开盖马桶对应但洗手盆窗户缺失且隔间更窄
F057,B,correct,partial,correct,wrong,A,马桶增加为大小两个并缺左侧洗手盆
F058,A,partial,wrong,wrong,partial,all_wrong,骑马运动员变雪地滑雪者
F058,B,partial,wrong,wrong,partial,all_wrong,骑手和马变持板奔跑的人
F059,A,partial,wrong,partial,wrong,all_wrong,工业厨房交谈两人变家中披萨和电脑旁两人
F059,B,partial,wrong,partial,wrong,all_wrong,工厂参观变食物电脑拼图
F059,C,partial,wrong,wrong,wrong,all_wrong,两名戴发网人员变桌前吃东西的一人和电脑
F060,A,partial,wrong,correct,wrong,all_wrong,长面包夹馅和薯条变饭菜堆及西兰花
F060,B,partial,wrong,correct,wrong,all_wrong,三明治薯条变碗中米饭蔬菜
F060,C,partial,partial,correct,partial,all_wrong,面包与配食仍在但长卷夹通心粉变开放芝士蔬菜片
F061,A,correct,correct,partial,correct,A,伏卧猫姿势对应但黑猫变虎斑且花毯变床单
F061,B,correct,partial,partial,partial,A,黑猫变虎斑且由贴面伏卧变抬身伸爪
F062,A,partial,wrong,wrong,wrong,all_wrong,棒球投手变网球场两名持拍者
F062,B,partial,wrong,wrong,partial,all_wrong,投球手套变女子挥网球拍
F062,C,partial,wrong,wrong,partial,all_wrong,红衣运动员仍在但投棒球变双手持拍
F063,A,correct,partial,correct,partial,A,电脑工作桌对应但电线杂物大量减少且变两台打开电脑
F063,B,partial,partial,partial,partial,A,杂物桌保留但电脑工作区变听诊器药瓶与衣物
F063,C,partial,wrong,partial,partial,A,办公杂物变餐具饭碗并缺电脑设备
F064,A,partial,wrong,partial,partial,all_wrong,未烤披萨面团变蔬菜三明治制作
F064,B,wrong,wrong,partial,wrong,all_wrong,铺奶酪披萨饼变切板上的大量绿叶菜
F064,C,partial,wrong,partial,wrong,all_wrong,生披萨变两片红色涂层面包和绿菜
F065,A,wrong,wrong,wrong,wrong,B,雪具架和缆车站变飞机停机坪
F065,B,partial,partial,correct,wrong,B,滑雪场对应但前景雪板架和缆车站被交通锥取代
F066,A,correct,partial,correct,partial,A,白柜冰箱厨房保留但开放碗架锅具和近景刀具缺失
F066,B,wrong,wrong,wrong,wrong,A,厨房储物柜变浴室洗手台镜子
F067,A,correct,partial,correct,wrong,A,河岸船只对应但一排系泊小船变中央大船
F067,B,correct,partial,correct,wrong,A,河面船只对应但岸边长排船减少为远处一船
F067,C,wrong,wrong,partial,wrong,A,河岸停船变开阔水面风筝运动
F068,A,wrong,wrong,wrong,wrong,all_wrong,旧店外墙门窗自行车变室内浴室
F068,B,wrong,wrong,wrong,wrong,all_wrong,街边旧店入口变白柜厨房
F068,C,wrong,wrong,wrong,wrong,all_wrong,斑驳店面和自行车变转角厨房
F069,A,wrong,partial,partial,wrong,all_wrong,林坡单象变两只黑白有蹄动物
F069,B,wrong,partial,partial,partial,all_wrong,灌木中的象变草地黑羊
F069,C,wrong,partial,partial,partial,all_wrong,远处象变较大的黑牛且林木消失
F070,A,wrong,wrong,wrong,wrong,all_wrong,山路旁山羊变城市道路与大片空天
F070,B,wrong,wrong,wrong,wrong,all_wrong,土路山羊变城市公交车与空中风筝
F070,C,partial,partial,wrong,wrong,all_wrong,路上有蹄动物保留但乡间坡地变市中心且近景白羊缺失
F071,A,correct,correct,correct,partial,A,双盆浴室对应但台面布局改变并多出淋浴间马桶
F071,B,correct,correct,correct,partial,A,镜子洗手台对应但双盆长台变单盆窄柜
F072,A,partial,wrong,wrong,partial,all_wrong,双手网球反拍变男子持棒球手套
F072,B,partial,wrong,wrong,partial,all_wrong,网球拍变举起棒球且多出一人
F073,A,partial,wrong,wrong,partial,all_wrong,雨街行人持伞变雪坡持杖者
F073,B,partial,wrong,wrong,partial,all_wrong,湿路行人变雪场站立滑雪人群
F073,C,partial,wrong,wrong,partial,all_wrong,雨天伞边街景变雪地牵手步行
F074,A,correct,partial,wrong,partial,A,猫卧姿保留但网袋衣物间变户外蓝板
F074,B,partial,wrong,wrong,wrong,A,网袋里单猫变浪中多只动物
F075,A,partial,wrong,partial,partial,all_wrong,水中长腿涉禽变枝上短腿小鸟
F075,B,partial,wrong,wrong,partial,all_wrong,单腿水中站立变褐鸟低空飞行
F075,C,partial,wrong,partial,partial,all_wrong,水中站鸟变石边张翅飞起的鸟
F076,A,wrong,wrong,partial,wrong,all_wrong,披萨酒瓶与画架变显示器和黄色瓶子
F076,B,wrong,wrong,wrong,wrong,all_wrong,披萨画架场景变浴室马桶洗手台
F077,A,correct,correct,correct,partial,A,仰视飞行客机对应但方向反转且多出弯曲机翼
F077,B,correct,correct,correct,partial,A,空中客机对应但变侧视朝左且放下起落架
F077,C,partial,correct,correct,partial,A,客机变螺旋桨机侧面且朝向反转
F078,A,correct,correct,partial,correct,A,单猫蜷卧椅上对应但橘猫条纹椅变黑白猫白垫
F078,B,correct,wrong,wrong,partial,A,椅上蜷猫变浴室洗手台上坐猫
F079,A,partial,wrong,partial,wrong,all_wrong,香蕉面粉黄油搅拌器备料变成品面包沙拉
F079,B,partial,wrong,partial,wrong,all_wrong,烘焙原料变水果块和三明治
F079,C,partial,wrong,partial,wrong,all_wrong,搅拌备料台变成品虾菜餐桌
F080,A,correct,partial,correct,partial,A,冲浪海水对应但大浪单人下切变浅水三人
F080,B,correct,partial,correct,partial,A,多人冲浪保留但大浪动作消失并变小浪两人
F081,A,wrong,partial,partial,wrong,all_wrong,灌木旁单长颈鹿变两只背向斑马
F081,B,wrong,wrong,partial,wrong,all_wrong,长颈鹿消失变草地后红色建筑和塔
F082,A,partial,wrong,partial,partial,all_wrong,相机自拍展示领带变手拿香蕉
F082,B,partial,wrong,partial,partial,all_wrong,持相机领带自拍变男子拿巨大香蕉状物
F083,A,wrong,wrong,wrong,wrong,all_wrong,围网内羊和水槽变车窗抱猫的人
F083,B,wrong,wrong,wrong,wrong,all_wrong,羊圈变街边餐馆座位
F083,C,wrong,wrong,wrong,wrong,all_wrong,羊和饲槽变带字车窗及人物
F084,A,correct,partial,partial,partial,A,轨道列车保留但站台红车侧面变街面黄车正面
F084,B,partial,partial,wrong,partial,A,站台红色列车变道路公交车且时钟信息牌缺失
F085,A,correct,correct,partial,correct,A,手持夹馅面包对应但炸物馅变整齐肉片
F085,B,correct,correct,partial,correct,A,手持三明治对应但圆面包炸馅变长面包肉片芥末
F085,C,correct,correct,wrong,partial,A,夹馅面包保留但炸物变肉片且背景为马桶
F086,A,partial,wrong,wrong,partial,B,咬甜甜圈女子变持球拍摸下巴男子
F086,B,correct,partial,partial,correct,B,女子手靠嘴边但食物不清且帽子摊位缺失
F087,A,partial,wrong,correct,partial,all_wrong,女子餐桌打电话变双手持物靠嘴进食状
F087,B,partial,wrong,partial,partial,all_wrong,耳旁手机消失变女子双手靠嘴
F087,C,partial,wrong,partial,partial,all_wrong,打电话变把物体放入口中且多出前景人物
F088,A,correct,correct,partial,correct,A,户外领带男子对应但胡须背带缺失且背景为人群建筑
F088,B,correct,correct,partial,partial,A,领带肖像对应但增眼镜黑外套且身后多人
F088,C,correct,correct,partial,correct,A,草地领带男子对应但白衬衫背带变红外套
F089,A,partial,wrong,wrong,partial,all_wrong,室内持拍发球变室外举臂抛物且球拍缺失
F089,B,partial,wrong,wrong,partial,all_wrong,网球发球变向天空飞盘伸手
F090,A,partial,wrong,partial,partial,all_wrong,飞盘链篮变蓝柱且飞盘缺失
F090,B,partial,wrong,partial,partial,all_wrong,链篮投盘变蓝柱旁追网球
F090,C,partial,partial,partial,wrong,all_wrong,红飞盘与人保留但目标链篮消失且混入网球
F091,A,wrong,wrong,wrong,wrong,all_wrong,运河旁列车变空中喷气机
F091,B,wrong,wrong,wrong,wrong,all_wrong,多节轨道列车变单架螺旋桨飞机
F091,C,wrong,wrong,wrong,wrong,all_wrong,列车及河岸轨道变天空风筝
F092,A,partial,wrong,partial,wrong,B,破旧马桶间变带床和洗手台的房间
F092,B,correct,correct,correct,partial,B,马桶及未完工墙面对应但裸露管道和污损程度不同
F092,C,correct,correct,correct,partial,B,马桶仍在但移至角落且洗手台成为主体
F093,A,partial,wrong,wrong,partial,all_wrong,水中回头理羽的水鸟变草地站鸟
F093,B,wrong,wrong,wrong,partial,all_wrong,水鸟变草地低头的小型四足动物
F094,A,correct,partial,correct,wrong,C,马桶保留但变侧面局部且双纸卷木座圈缺失
F094,B,correct,partial,correct,partial,C,俯视马桶对应但木盖双纸卷缺失且座圈结构变化
F094,C,correct,partial,correct,partial,C,正面马桶对应但双纸卷和竖起木座圈消失
F095,A,correct,partial,correct,partial,A,男子网球击球保留但起跳高位挥拍变站立低位击球
F095,B,correct,partial,correct,partial,A,网球男子保留但变持拍等待而非跳起挥击
F096,A,wrong,wrong,wrong,wrong,all_wrong,窗边橘猫变林中长颈鹿
F096,B,wrong,wrong,wrong,wrong,all_wrong,箱中猫变草地两只熊样动物
F096,C,wrong,wrong,wrong,wrong,all_wrong,室内橘猫变户外黑熊与浅色犬样动物
F097,A,correct,partial,wrong,partial,A;B,单板跳跃保留但街头障碍赛变树林雪坡
F097,B,correct,partial,wrong,partial,A;B,单板运动对应但无栏杆障碍和城市观众
F098,A,wrong,wrong,partial,wrong,all_wrong,树上香蕉串变灌木旁消防栓
F098,B,wrong,wrong,partial,wrong,all_wrong,香蕉串变电线杆和悬挂红色物件
F099,A,partial,partial,partial,partial,B,绿黄机车变车库内白色流线列车
F099,B,correct,correct,correct,partial,B,黄色车头轨道场景对应但机车型式和朝向构图不同
F099,C,correct,correct,correct,partial,B,铁轨列车对应但绿黄机车变蓝色客车且朝向反转
F100,A,wrong,wrong,wrong,wrong,all_wrong,草地叼飞盘的狗变公交车和驾驶员
F100,B,correct,partial,wrong,partial,all_wrong,奔跑狗保留但口中飞盘不清且草场变车道
F100,C,wrong,wrong,wrong,wrong,all_wrong,叼飞盘狗变道路上的飞机
F101,A,partial,wrong,wrong,wrong,B,窄街过路人变室内交通站台公交车
F101,B,partial,partial,partial,partial,B,城市道路透视保留但过斑马线者变骑车人且街道式样不同
F102,A,wrong,partial,partial,partial,all_wrong,水中白熊玩球变穿衣戴头套的狗趴板
F102,B,wrong,wrong,partial,partial,all_wrong,白熊和球变船边穿救生装备的狗叼物
F102,C,wrong,partial,correct,partial,all_wrong,水中玩球关系近似但北极熊变黑狗且球变浮具
F103,A,wrong,wrong,wrong,wrong,all_wrong,卧室铁床变浴室马桶浴缸
F103,B,wrong,wrong,wrong,wrong,all_wrong,床和床边电脑变两只浴缸
F104,A,partial,partial,partial,partial,A,大型载客车保留但冰雪登车场景变棚内奇异车头
F104,B,partial,partial,wrong,partial,A,冰原高底盘红车变街道普通蓝白公交车且乘客缺失
F105,A,wrong,wrong,correct,partial,all_wrong,蛋糕莓果咖啡变肉片三明治果汁
F105,B,wrong,wrong,correct,partial,all_wrong,蛋糕和咖啡变夹肉面包及啤酒
F105,C,wrong,wrong,correct,partial,all_wrong,蛋糕莓果变长肉三明治和生菜
F106,A,correct,partial,wrong,partial,C,天空风筝保留但海边水上活动变草地放线
F106,B,correct,partial,wrong,wrong,C,海滩弧形风筝变草地两人多风筝
F106,C,correct,partial,partial,partial,C,风筝及低地平线保留但水面帆板者变陆地站人
F107,A,partial,wrong,wrong,partial,all_wrong,颈部红条纹领带变平放的绿色领带状物与圆形配件
F107,B,wrong,wrong,wrong,wrong,all_wrong,领带服装特写变花朵装饰的糕点状物
F108,A,wrong,wrong,wrong,wrong,all_wrong,撑伞男子肖像变戴项圈的猫狗混合样动物
F108,B,partial,partial,partial,partial,all_wrong,人物近景保留但男子撑伞变户外女子且伞缺失
F108,C,wrong,wrong,wrong,wrong,all_wrong,伞下男子变路边黑棕狗
F109,A,correct,wrong,wrong,wrong,all_wrong,跑道侧面客机变水面上迎面飞机
F109,B,correct,wrong,wrong,partial,all_wrong,客机朝左对应但地面停行变高空飞行
F109,C,correct,wrong,wrong,wrong,all_wrong,跑道上客机变海面迎面低飞飞机
F110,A,correct,partial,wrong,partial,B,户外电脑保留但夜间石台女子变白天车内桌面
F110,B,correct,correct,wrong,partial,B,人操作电脑对应但石台夜景变汽车窗旁白天
F110,C,partial,partial,partial,wrong,B,户外笔记本保留但操作女子和石台缺失并增加红杯
F111,A,correct,correct,correct,partial,A,两只长颈鹿近景对应但前后左右朝向交换
F111,B,correct,partial,correct,wrong,A,两只长颈鹿保留但增加斑马且头部截断
F112,A,wrong,wrong,partial,wrong,all_wrong,门后自行车变窗旁矮凳杂物
F112,B,wrong,wrong,partial,wrong,all_wrong,自行车门洞变带碗盆的桌台
F113,A,partial,partial,correct,wrong,A;C,马桶与瓷砖对应但浴缸洗手盆蓝帘缺失
F113,B,partial,wrong,correct,wrong,A;C,浴室变大小双马桶且浴缸洗手盆消失
F113,C,partial,partial,correct,wrong,A;C,单马桶保留但全景浴室变窄隔间且缺浴缸
F114,A,partial,wrong,partial,partial,all_wrong,俯视货车路口变街边公交车且停止牌缺失
F114,B,partial,wrong,partial,partial,all_wrong,货车侧上方视角变公交正面
F114,C,wrong,wrong,wrong,partial,all_wrong,路口卡车变停机坪客机
F115,A,correct,correct,uncertain,partial,A,手持操作手机对应但变双手特写且胸牌缺失背景无法确定
F116,A,uncertain,wrong,partial,wrong,all_wrong,原图仍无法辨认褐色动物物种且雁带幼鸟队列和野餐桌均缺失
F117,A,partial,wrong,wrong,partial,B,红摩托骑手变滑雪者
F117,B,correct,correct,partial,correct,B,骑手红白摩托朝右对应但稻草观众区变街道栏杆
F117,C,correct,correct,partial,correct,B,红白摩托骑乘保留但头盔变帽子且赛道变街道
F118,A,correct,partial,correct,partial,A,室内男子持小控制器关系较近但站立人物与后方人位置改变
F118,B,correct,wrong,correct,partial,A,单人侧向操作变男女面对面展示小物件
F118,C,correct,wrong,correct,partial,A,侧向游戏姿势变女子整理男子领带
F119,A,correct,partial,correct,partial,B,转角小厨房对应但炉灶水槽左右位置交换
F119,B,correct,correct,correct,partial,B,左炉灶右水槽转角对应但柜色和微波炉冰箱配置不同
F119,C,correct,partial,correct,partial,B,白柜炉灶水槽保留但转角变直列且背景绿墙
F120,A,wrong,wrong,wrong,wrong,all_wrong,蒸汽机车变停机坪飞机
F120,B,wrong,wrong,wrong,wrong,all_wrong,黑色蒸汽火车变机场多架客机
F120,C,wrong,wrong,wrong,wrong,all_wrong,蒸汽机车正面变白色飞机侧面
F121,A,wrong,wrong,wrong,wrong,all_wrong,蓝墙厨房岛台变马桶浴缸洗手台
F121,B,wrong,wrong,wrong,wrong,all_wrong,厨房灶台油烟机变浴室马桶及双盆
F121,C,wrong,wrong,wrong,wrong,all_wrong,厨房岛台变马桶与洗手柜
F122,A,partial,wrong,wrong,partial,all_wrong,滑板沿栏杆动作变雪地单板滑行
F122,B,partial,wrong,wrong,partial,all_wrong,滑板栏杆平衡变雪坡单板小跳
F122,C,partial,wrong,wrong,partial,all_wrong,滑板磨杆变滑雪单板高空跳跃
F123,A,correct,partial,correct,partial,A,室内三人进食保留但前景两女子变男子喂女子
F123,B,correct,partial,correct,partial,A,聚会吃东西对应但变两人喂食且无原食物与第三人
F123,C,partial,wrong,correct,partial,A,持食物聚会变女子拿小设备且仅两人
F124,A,correct,wrong,correct,partial,all_wrong,海中冲浪者保留但站板乘大浪变平水中抱板
F124,B,correct,wrong,correct,partial,all_wrong,冲浪者变平静海面坐板等待且大浪缺失
F125,A,wrong,wrong,wrong,partial,B,花田边列车变水边飞机
F125,B,correct,correct,partial,partial,B,列车横向构图对应但花田风机消失且车厢增加
F126,A,partial,wrong,wrong,partial,B,持拍抛球变张臂空手站立
F126,B,correct,partial,correct,partial,B,球拍挥击与球场保留但男子向上发球变女子正向击球
